ROG3,region,PoplPeoples,CntPeoples,CntPeoplesLR,PoplPeoplesLR,JPScaleCtry,ROL3OfficialLanguage,OfficialLang,RLG3Primary,ReligionPrimary,PercentChristianity,PercentEvangelical,10_40Window,ROG2,Continent,RegionCode,RegionName,PercentUrbanized,LiteracyRate,ISO3,Population,WorkersNeeded
AF,Afghanistan,40626000,70,68,40624000,1,pbt,"Pashto, Southern",6,Islam,0.018740952,0.015705041,Y,ASI,Asia,5,"Asia, Central",27,43,AFG,40754000,851
AL,Albania,2834000,15,3,40000,2,aln,"Albanian, Gheg",6,Islam,33.64112965,0.604968487,Y,EUR,Europe,9,"Europe, Eastern and Eurasia",64,98,ALB,2866000,3
AG,Algeria,45266000,38,34,45233000,1,arb,"Arabic, Standard",6,Islam,0.076493207,0.069806179,Y,AFR,Africa,6,"Africa, North and Middle East",75,81,DZA,45350000,920
AQ,American Samoa,54000,9,1,1000,5,smo,Samoan,1,Christianity,95.42002013,24.78033415,N,SOP,Oceania,1,Australia and Pacific,87,97,ASM,55000,1
AN,Andorra,76000,10,2,1100,3,cat,Catalan,1,Christianity,90.60575928,1.352466387,N,EUR,Europe,10,"Europe, Western",88,100,AND,77000,2
AO,Angola,34891000,62,1,53000,5,por,Portuguese,1,Christianity,91.7109952,23.1158071,N,AFR,Africa,7,"Africa, East and Southern",66,71,AGO,35027000,1
AV,Anguilla,15000,5,,,5,eng,English,1,Christianity,90.60375512,34.62236778,N,NAR,North America,12,"America, North and Caribbean",100,95,AIA,15000,
AC,Antigua and Barbuda,99000,5,,,5,eng,English,1,Christianity,92.92787183,24.80758084,N,NAR,North America,12,"America, North and Caribbean",25,99,ATG,100000,
AR,Argentina,45878000,85,2,178000,5,spa,Spanish,1,Christianity,93.1254877,11.06278266,N,LAM,South America,11,"America, Latin",92,99,ARG,46010000,5
AM,Armenia,2931000,18,4,54000,4,hye,Armenian,1,Christianity,92.4625098,9.179231737,N,EUR,Europe,5,"Asia, Central",63,100,ARM,2972000,4
AA,Aruba,107000,9,,,4,nld,Dutch,1,Christianity,95.48236198,9.885710593,N,NAR,North America,12,"America, North and Caribbean",43,98,ABW,108000,
AS,Australia,25931000,202,30,1482000,5,eng,English,1,Christianity,63.14421764,14.04662782,N,AUS,Australia,1,Australia and Pacific,86,99,AUS,26069000,41
AU,Austria,9044000,46,8,360000,3,deu,"German, Standard",1,Christianity,67.72236498,0.569563552,N,EUR,Europe,10,"Europe, Western",58,98,AUT,9067000,10
AJ,Azerbaijan,10258000,39,23,9852000,1,azj,"Azerbaijani, North",6,Islam,3.157042831,0.260332578,Y,ASI,Asia,5,"Asia, Central",56,99,AZE,10300000,211
BF,Bahamas,398000,9,,,5,eng,English,1,Christianity,94.46132907,39.52540045,N,NAR,North America,12,"America, North and Caribbean",83,97,BHS,401000,
BA,Bahrain,1754000,17,8,1361000,4,arb,"Arabic, Standard",6,Islam,8.288568901,2.56773252,Y,ASI,Asia,6,"Africa, North and Middle East",89,95,BHR,1784000,30
BG,Bangladesh,167132000,311,289,165399000,1,ben,Bengali,6,Islam,0.370202636,,Y,ASI,Asia,4,"Asia, South",37,74,BGD,167886000,3486
BB,Barbados,285000,5,1,4000,5,eng,English,1,Christianity,92.60792558,33.65281,N,NAR,North America,12,"America, North and Caribbean",31,99,BRB,288000,1
BO,Belarus,9364000,26,6,35000,3,bel,Belarusian,1,Christianity,69.39606231,1.679149618,N,EUR,Europe,9,"Europe, Eastern and Eurasia",79,100,BLR,9433000,6
BE,Belgium,11624000,94,28,910000,3,vls,West Flemish,1,Christianity,64.3809282,1.493833632,N,EUR,Europe,10,"Europe, Western",98,100,BEL,11668000,36
BH,Belize,388000,13,1,6600,5,eng,English,1,Christianity,86.23637858,23.44770964,N,NAR,North America,11,"America, Latin",46,83,BLZ,412000,1
BN,Benin,12747000,63,13,2387000,4,fra,French,1,Christianity,31.56999027,7.470285091,Y,AFR,Africa,8,"Africa, West and Central",47,42,BEN,12785000,52
