ROL3,Language,NbrPGICs,JPScale,LeastReached,BibleStatus,BibleYear,NTYear,PortionsYear,JF,AudioRecordings,YouVersion_ID,RLG3,PrimaryReligion
aou,A'ou,,,N,0,,,,N,N,,,
aiw,Aari,1,5,N,5,2017,1997,Yes,Y,Y,,4,Ethnic Religions
aas,Aasax,,,N,0,,,,N,N,,,
kbt,Abadi,1,5,N,3,,,2009-2016,N,N,,1,Christianity
abf,Abai Sungai,1,1,Y,0,,,,N,N,,6,Islam
bzy,Abanglekuo,1,4,N,3,,,2017,Y,Y,,1,Christianity
abm,Abanyom,1,5,N,2,,,,N,Y,,1,Christianity
aau,Abau,1,5,N,4,,2006-2013,1990,Y,Y,1015,1,Christianity
abq,Abaza,2,1,Y,3,,,2019-2021,N,N,,6,Islam
aba,Abe,1,4,N,3,,,1967-1981,N,Y,,1,Christianity
aaq,"Abenaki, Eastern",,,N,0,,,,N,N,,,
abe,"Abenaki, Western",,,N,3,,,1844,N,N,,,
abi,Abidji,1,4,N,4,,2001,1978-1988,Y,Y,,1,Christianity
bsa,Abinomn,1,4,N,1,,,,N,N,,1,Christianity
pcn,Abishi,1,4,N,2,,,,N,Y,,1,Christianity
abk,Abkhaz,6,2,N,4,,2015,1912-1981,Y,N,,6,Islam
aob,Abom,,,N,0,,,,N,N,,,
abo,Abon,1,4,N,1,,,,N,Y,,1,Christianity
abr,Abron,2,5,N,2,,,,N,Y,,1,Christianity
ado,Abu,1,5,N,3,,,2006,N,Y,,1,Christianity
abn,Abua,1,5,N,5,2018,1978,1967-1990,N,Y,,1,Christianity
abz,Abui,1,5,N,1,,,,N,Y,,1,Christianity
kgr,Abun,1,5,N,4,,2004,1991-1995,N,Y,,1,Christianity
abu,Abure,1,4,N,2,,,,N,Y,,1,Christianity
mgj,Abureni,1,4,N,2,,,,N,N,,1,Christianity
ace,Aceh,1,1,Y,5,1997,1996,1973,Y,Y,,6,Islam
aca,Achagua,1,5,N,4,,2013,1985-2013,N,Y,1418,1,Christianity
acn,Achang,4,5,N,5,2010-2011,1992-2005,Yes,N,Y,373,4,Ethnic Religions
guq,Ache,1,4,N,4,,2014,1978-2007,Y,Y,,1,Christianity
yif,Ache,1,1,Y,1,,,,N,Y,,4,Ethnic Religions
acz,Acheron,1,1,Y,1,,,,N,Y,,6,Islam
acr,Achi,2,4,N,5,2019,1984-2009,1962-1993,Y,Y,517,1,Christianity
ach,Acholi,2,5,N,5,1985-1986,1933,1905-1962,Y,Y,733,1,Christianity
act,Achterhoeks,,,N,3,,,2002,N,N,,,
acu,Achuar-Shiwiar,2,2,N,4,,1981-2019,1973-1988,Y,Y,4,4,Ethnic Religions
acv,Achumawi,,,N,0,,,,N,Y,,,
acp,"Acipa, Eastern",1,4,N,1,,,,N,N,,4,Ethnic Religions
ads,Adamorobe Sign Language,,,N,1,,,,N,N,,,
adn,Adang,1,4,N,1,,,,N,Y,,1,Christianity
adq,Adangbe,2,5,N,2,,,,N,Y,,1,Christianity
kad,Adara,1,4,N,3,,,2015,Y,Y,,1,Christianity
tiu,Adasen,1,4,N,4,,1990,Yes,N,N,,4,Ethnic Religions
ade,Adele,2,4,N,4,,1996-2001,1992-1993,Y,Y,,4,Ethnic Religions
adi,Adi,128,3,N,5,2005-2012,1988-2003,1932-1986,Y,Y,adi,9,Unknown
adl,"Adi, Galo",2,3,N,4,,2008,Yes,Y,Y,adl,9,Unknown
adj,Adioukrou,1,4,N,4,,1998-2013,1927-1994,Y,Y,adj,1,Christianity
adt,Adnyamathanha,,,N,0,,,,N,N,,,
adr,Adonara,1,4,N,3,,,2022,Y,N,,1,Christianity
adu,Aduge,1,4,N,1,,,,N,N,,4,Ethnic Religions
ady,Adyghe,13,1,Y,4,,1991-2019,1977-2007,Y,Y,,6,Islam
adz,Adzera,2,5,N,4,,1976,1968-2001,Y,Y,1229,1,Christianity
aez,Aeka,1,5,N,3,,,1956,N,Y,,1,Christianity
awi,Aekyom,1,5,N,4,,1987,1958-1964,N,Y,,1,Christianity
aeq,Aer,1,1,Y,1,,,,N,N,,6,Islam
aal,Afade,2,1,Y,1,,,,N,Y,,6,Islam
aar,Afar,3,1,Y,5,2013,1994,1975-1986,Y,Y,,6,Islam
afg,Afghan Sign Language,1,,N,1,,,,N,N,,6,Islam
aft,Afitti,1,1,Y,1,,,,N,N,,6,Islam
afr,Afrikaans,19,5,N,5,1933-2021,1941-1980,1893-1929,Y,Y,6,1,Christianity
afs,Afro-Seminole Creole,2,3,N,0,,,,N,N,,1,Christianity
agd,Agarabi,1,5,N,4,,2010-2012,1970,Y,Y,935,1,Christianity
agi,Agariya,1,1,Y,2,,,,N,Y,,5,Hinduism
agc,Agatu,1,4,N,4,,1984,1951-1968,Y,Y,,1,Christianity
agq,Aghem,1,4,N,4,,2019,2003,Y,Y,,1,Christianity
ahh,Aghu,1,5,N,1,,,,N,N,,1,Christianity
agx,Aghul,1,1,Y,3,,,2005-2007,N,N,,6,Islam
aif,Agi,1,5,N,1,,,,N,Y,,1,Christianity
kit,Agob,1,5,N,3,,,2009-2010,N,Y,,1,Christianity
ibm,Agoi,1,5,N,1,,,,N,Y,,1,Christianity
dgc,"Agta, Casiguran Dumagat",2,4,N,4,,1979,1967,N,Y,1170,4,Ethnic Religions
agt,"Agta, Central Cagayan",1,4,N,4,,1992-2018,1962-1980,N,Y,1244,4,Ethnic Religions
duo,"Agta, Dupaninan",1,4,N,4,,2001-2015,1986-2009,N,N,1312,4,Ethnic Religions
agk,"Agta, Katubung",1,4,N,0,,,,N,N,,4,Ethnic Religions
atl,"Agta, Mt. Iraya",1,4,N,2,,,,N,N,,1,Christianity
agz,"Agta, Mt. Iriga",1,4,N,2,,,,N,N,,1,Christianity
apf,"Agta, Pahanan",1,4,N,4,,2016-2017,1988-2006,N,N,,4,Ethnic Religions
due,"Agta, Umiray Dumaget",1,4,N,4,,1977-2015,1968,N,Y,1339,4,Ethnic Religions
aug,Aguna,2,4,N,1,,,,N,Y,,4,Ethnic Religions
agn,Agutaynen,1,4,N,4,,2004-2020,1989-1993,N,Y,1124,1,Christianity
yay,Agwagwune,1,5,N,3,,,1894,Y,Y,,1,Christianity
ahn,Ahan,1,1,Y,1,,,,N,N,,4,Ethnic Religions
aha,Ahanta,1,5,N,4,,2009,2002,Y,Y,,1,Christianity
thm,Aheu,2,1,Y,1,,,,N,Y,,2,Buddhism
ahr,Ahirani,135,1,Y,4,,2017-2020,Yes,Y,Y,,5,Hinduism
aho,Ahom,,,N,2,,,,N,N,,,
aht,Ahtena,1,4,N,0,,,,N,N,,1,Christianity
nfd,Ahwai,3,4,N,2,,,,N,Y,,1,Christianity
aih,Ai-Cham,1,1,Y,1,,,,N,N,,4,Ethnic Religions
aix,Aighon,1,5,N,2,,,,N,Y,,1,Christianity
tba,Aikana,1,5,N,3,,,2016,Y,Y,,4,Ethnic Religions
mwg,Aiklep,1,5,N,2,,,,N,Y,,1,Christianity
aiq,Aimaq,5,1,Y,1,,,,N,N,,6,Islam
aim,Aimol,3,3,N,4,,2013-2014,Yes,N,Y,aim,1,Christianity
aic,Ainbai,1,5,N,0,,,,N,N,,1,Christianity
aib,Ainu,1,1,Y,1,,,,N,N,,6,Islam
ain,Ainu,1,1,Y,4,,1897-1981,1889-1896,N,N,ain,4,Ethnic Religions
aki,Aiome,1,5,N,1,,,,N,Y,,1,Christianity
air,Airoran,1,5,N,1,,,,N,N,,1,Christianity
mmq,Aisi,1,5,N,1,,,,N,N,,1,Christianity
aio,Aiton,1,1,Y,2,,,,N,Y,,2,Buddhism
nfl,Aiwoo,1,5,N,3,,,1980-1999,N,Y,,1,Christianity
ahp,"Aizi, Aproumu",1,4,N,0,,,,N,Y,,1,Christianity
ahm,"Aizi, Mobumrin",1,4,N,0,,,,N,N,,1,Christianity
ahi,"Aizi, Tiagbamrin",1,4,N,1,,,,N,N,,1,Christianity
aja,Aja,,,N,0,,,,N,N,,,
ajg,Aja,2,5,N,3,,,2010-2018,Y,Y,,4,Ethnic Religions
aji,Ajie,2,5,N,4,,1922-1949,1903-1972,N,Y,924,1,Christianity
afo,Ajiri,1,2,N,3,,,1972,N,Y,,4,Ethnic Religions
idc,Ajiya,1,4,N,2,,,,N,N,,4,Ethnic Religions
muc,Ajumbu,1,3,N,1,,,,N,N,,1,Christianity
cpc,Ajyininka Apurucayali,1,3,N,4,,2000,2000,N,N,579,1,Christianity
