ROG3,Ctry,PeopleID3,ROP3,PeopNameAcrossCountries,PeopNameInCountry,Population,JPScale,LeastReached,ROL3,PrimaryLanguageName,BibleStatus,RLG3,PrimaryReligion,PercentAdherents,PercentEvangelical,PeopleID1,ROP1,AffinityBloc,PeopleID2,ROP2,PeopleCluster,CountOfCountries,RegionCode,RegionName,ROG2,Continent,10_40Window,IndigenousCode,WorkersNeeded,Frontier,Latitude,Longitude
AF,Afghanistan,14372,107989,"Afghan, Tajik","Afghan, Tajik",11388000,1,Y,prs,Dari,5,6,Islam,0.01,0.01,14,A005,Persian-Median,299,C0211,Tajik,3,5,"Asia, Central",ASI,Asia,Y,Y,228,Y,31.15621,62.14612
AF,Afghanistan,19409,100096,Afshari,Afshari,15000,1,Y,azb,"Azerbaijani, South",5,6,Islam,0.039,0.039,24,A015,Turkic Peoples,126,C0028,Azerbaijani,2,5,"Asia, Central",ASI,Asia,Y,N,1,Y,34.44796,69.28976
AF,Afghanistan,21454,118270,Aimaq,Aimaq,1670000,1,Y,aiq,Aimaq,1,6,Islam,0,0,14,A005,Persian-Median,268,C0179,Persian,5,5,"Asia, Central",ASI,Asia,Y,Y,33,Y,35.00501,63.128594
AF,Afghanistan,15741,110448,"Americans, U.S.","Americans, U.S.",500,5,N,eng,English,5,1,Christianity,84.5,30,18,A009,North American Peoples,109,C0011,Anglo-American,104,5,"Asia, Central",ASI,Asia,Y,N,,N,34.528621,69.168549
AF,Afghanistan,16221,111334,Ansari,Ansari,2500,1,Y,urd,Urdu,5,6,Islam,0,0,21,A012,South Asian Peoples,452,A012,South Asia Muslim - Ansari,6,5,"Asia, Central",ASI,Asia,Y,N,1,Y,34.54777,69.3198
AF,Afghanistan,15202,109734,"Arab, Tajiki","Arab, Tajiki",18000,1,Y,abh,"Arabic, Tajiki Spoken",1,6,Islam,0.2,0.2,10,A001,Arab World,324,C0237,"Arab World, general",2,5,"Asia, Central",ASI,Asia,Y,N,1,N,36.9447,66.80422
AF,Afghanistan,16239,111360,Arora (Hindu traditions),Arora (Hindu traditions),1600,1,Y,skr,Saraiki,3,5,Hinduism,0,0,21,A012,South Asian Peoples,442,A012,South Asia Hindu - other,3,5,"Asia, Central",ASI,Asia,Y,N,1,Y,36.187213,70.980606
AF,Afghanistan,10528,100675,Azerbaijani,Azerbaijani,13000,1,Y,azj,"Azerbaijani, North",5,6,Islam,0,0,24,A015,Turkic Peoples,126,C0028,Azerbaijani,20,5,"Asia, Central",ASI,Asia,Y,N,1,Y,34.4501,69.61334
AF,Afghanistan,15356,110770,"Baloch, Western","Baloch, Western",489000,1,Y,bgn,"Balochi, Western",3,6,Islam,0.009,0.009,21,A012,South Asian Peoples,455,A012,Baloch,4,5,"Asia, Central",ASI,Asia,Y,Y,10,Y,30.24139,63.20176
AF,Afghanistan,19423,115168,Bania (Muslim traditions),Bania (Muslim traditions),6700,1,Y,urd,Urdu,5,6,Islam,0.23,0.2,21,A012,South Asian Peoples,462,A012,South Asia Muslim - other,1,5,"Asia, Central",ASI,Asia,Y,N,1,N,34.375787,69.435276
