,PeopleID3,ROG3,ROL3,ROL4,Language,LanguageDialect,LanguageRank,Speakers,NbrPGICs,JPScale,LeastReached,BibleStatus,BibleYear,NTYear,PortionsYear,JF,AudioRecordings,YouVersion_ID,RLG3,PrimaryReligion,ID3ROG3
1,12316,AA,jam,0,Jamaican English Creole,Jamaican English Creole,P,587,11,5,N,4,NA,2012,Yes,Y,Y,476,1,Christianity,12316AA
2,10348,AC,aig,0,Leeward Caribbean English Creole,Leeward Caribbean English Creole,S,NA,8,5,N,3,NA,NA,2006,N,N,NA,1,Christianity,10348AC
3,13862,AC,aig,0,Leeward Caribbean English Creole,Leeward Caribbean English Creole,P,2803,8,5,N,3,NA,NA,2006,N,N,NA,1,Christianity,13862AC
4,10376,AE,afb,0,"Arabic, Gulf Spoken","Arabic, Gulf Spoken",P,NA,18,1,Y,3,NA,NA,2013,Y,Y,NA,6,Islam,10376AE
5,10378,AE,acx,0,"Arabic, Omani Spoken","Arabic, Omani Spoken",P,308882,12,1,Y,1,NA,NA,NA,N,N,NA,6,Islam,10378AE
6,11359,AE,rhg,0,Rohingya,Rohingya,P,51592,9,1,Y,3,NA,NA,2020,Y,Y,NA,6,Islam,11359AE
7,11597,AE,afb,0,"Arabic, Gulf Spoken","Arabic, Gulf Spoken",P,70650,18,1,Y,3,NA,NA,2013,Y,Y,NA,6,Islam,11597AE
8,11722,AE,arz,0,"Arabic, Egyptian Spoken","Arabic, Egyptian Spoken",P,1028364,39,4,N,4,NA,2012,1905-2007,Y,Y,NA,6,Islam,11722AE
9,12046,AE,afb,0,"Arabic, Gulf Spoken","Arabic, Gulf Spoken",P,196048,18,1,Y,3,NA,NA,2013,Y,Y,NA,6,Islam,12046AE
10,12076,AE,haz,0,Hazaragi,Hazaragi,P,101952,9,1,Y,3,NA,NA,2008-2015,Y,Y,NA,6,Islam,12076AE
11,12247,AE,acm,0,"Arabic, Mesopotamian Spoken","Arabic, Mesopotamian Spoken",P,51592,31,1,Y,4,NA,2005,Yes,Y,Y,NA,6,Islam,12247AE
12,12368,AE,apc,0,"Arabic, North Levantine Spoken","Arabic, North Levantine Spoken",P,26413,120,2,N,3,NA,NA,1939-1981,N,Y,NA,6,Islam,12368AE
13,13017,AE,apc,0,"Arabic, North Levantine Spoken","Arabic, North Levantine Spoken",P,27859,120,2,N,3,NA,NA,1939-1981,N,Y,NA,6,Islam,13017AE
14,14276,AE,ajp,0,"Arabic, South Levantine Spoken","Arabic, South Levantine Spoken",P,103183,38,1,Y,3,NA,NA,1940-1946,Y,Y,NA,6,Islam,14276AE
15,14327,AE,pbt,0,"Pashto, Southern","Pashto, Southern",P,148583,15,1,Y,3,NA,NA,1971-2019,Y,Y,NA,6,Islam,14327AE
16,14908,AE,ssh,0,"Arabic, Shihhi Spoken","Arabic, Shihhi Spoken",P,20170,2,1,Y,1,NA,NA,NA,N,N,NA,6,Islam,14908AE
17,14971,AE,sqt,0,Soqotri,Soqotri,P,15955,2,1,Y,3,NA,NA,1902-1905,N,N,NA,6,Islam,14971AE
18,15034,AE,bcc,0,"Balochi, Southern","Balochi, Southern",P,402343,110,1,Y,4,NA,1999-2001,1992-1994,Y,Y,rom,6,Islam,15034AE
19,15104,AE,apd,0,"Arabic, Sudanese Spoken","Arabic, Sudanese Spoken",P,75437,80,1,Y,4,NA,1978-2005,1927-1964,Y,Y,NA,6,Islam,15104AE
20,15152,AE,apc,0,"Arabic, North Levantine Spoken","Arabic, North Levantine Spoken",P,50044,120,2,N,3,NA,NA,1939-1981,N,Y,NA,6,Islam,15152AE
21,15198,AE,acq,3364,"Arabic, Taizzi-Adeni Spoken","Arabic, Taizzi-Adeni Spoken: Ta'izzi",P,58005,19,1,Y,3,NA,NA,2011,Y,Y,NA,6,Islam,15198AE
22,10959,AF,brh,0,Brahui,Brahui,P,337501,38,1,Y,4,NA,1998,1905-1978,Y,Y,NA,6,Islam,10959AF
23,11597,AF,rmt,9376,Domari,Domari: Churi-wali,P,11645,12,1,Y,3,NA,NA,2018-2019,Y,Y,NA,6,Islam,11597AF
24,11835,AF,gwt,0,Gawar-Bati,Gawar-Bati,P,40563,1,1,Y,1,NA,NA,NA,N,Y,NA,6,Islam,11835AF
25,12076,AF,haz,0,Hazaragi,Hazaragi,P,3503209,9,1,Y,3,NA,NA,2008-2015,Y,Y,NA,6,Islam,12076AF
26,12482,AF,xvi,11490,Kamviri,Kamviri: Shekhani,P,22750,1,1,Y,1,NA,NA,NA,N,Y,NA,6,Islam,12482AF
27,12741,AF,gwc,11381,Gawri,Gawri: Ushu,P,2019,47,1,Y,3,NA,NA,2022,Y,N,NA,6,Islam,12741AF
28,13996,AF,aee,0,"Pashai, Northeast","Pashai, Northeast",P,NA,1,1,Y,1,NA,NA,NA,N,Y,NA,6,Islam,13996AF
29,14327,AF,pbt,0,"Pashto, Southern","Pashto, Southern",P,10415504,15,1,Y,3,NA,NA,1971-2019,Y,Y,NA,6,Islam,14327AF
30,14727,AF,sgy,0,Sanglechi,Sanglechi,P,2902,2,1,Y,1,NA,NA,NA,N,Y,NA,6,Islam,14727AF
31,14921,AF,sgh,0,Shughni,Shughni,P,47412,2,1,Y,3,NA,NA,2001-2015,Y,Y,NA,6,Islam,14921AF
32,14924,AF,sts,0,Shumashti,Shumashti,P,1684,1,1,Y,1,NA,NA,NA,N,Y,NA,6,Islam,14924AF
33,15072,AF,psh,0,"Pashai, Southwest","Pashai, Southwest",P,126390,1,1,Y,1,NA,NA,NA,N,Y,NA,6,Islam,15072AF
34,15202,AF,abh,0,"Arabic, Tajiki Spoken","Arabic, Tajiki Spoken",P,NA,2,1,Y,1,NA,NA,NA,N,Y,NA,6,Islam,15202AF
35,15356,AF,bgn,7624,"Balochi, Western","Balochi, Western: Rakhshani",P,489366,75,1,Y,3,NA,NA,1984-2020,Y,Y,NA,6,Islam,15356AF
36,15382,AF,pnb,0,"Punjabi, Western","Punjabi, Western",P,38816,784,1,Y,4,NA,1819-1952,1885-1922,Y,Y,NA,6,Islam,15382AF
37,15500,AF,pbt,0,"Pashto, Southern","Pashto, Southern",P,NA,15,1,Y,3,NA,NA,1971-2019,Y,Y,NA,6,Islam,15500AF
38,15575,AF,trm,0,Tregami,Tregami,P,4423,1,1,Y,1,NA,NA,NA,N,N,NA,6,Islam,15575AF
39,15735,AF,oru,0,Ormuri,Ormuri,S,NA,15,1,Y,1,NA,NA,NA,N,Y,NA,6,Islam,15735AF
40,15735,AF,pbt,0,"Pashto, Southern","Pashto, Southern",P,NA,15,1,Y,3,NA,NA,1971-2019,Y,Y,NA,6,Islam,15735AF
41,15756,AF,uzs,0,"Uzbek, Southern","Uzbek, Southern",P,4593491,5,1,Y,3,NA,NA,2004-2006,Y,Y,NA,6,Islam,15756AF
42,16239,AF,skr,0,Saraiki,Saraiki,P,1603,862,1,Y,3,NA,NA,1888-2009,Y,Y,NA,6,Islam,16239AF
43,18369,AF,mvy,0,"Kohistani, Indus","Kohistani, Indus",P,48941,38,1,Y,3,NA,NA,2021,Y,N,NA,6,Islam,18369AF
44,18693,AF,wbl,0,Wakhi,Wakhi,P,21485,4,1,Y,3,NA,NA,2001,N,Y,NA,6,Islam,18693AF
45,19007,AF,afg,0,Afghan Sign Language,Afghan Sign Language,P,407346,1,NA,N,1,NA,NA,NA,N,N,NA,6,Islam,19007AF
46,19437,AF,khw,0,Khowar,Khowar,P,10514,158,1,Y,3,NA,NA,2021,Y,Y,NA,6,Islam,19437AF
47,21454,AF,aiq,0,Aimaq,Aimaq,P,1669529,5,1,Y,1,NA,NA,NA,N,N,NA,6,Islam,21454AF
48,10379,AG,arq,0,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",P,32932290,27,1,Y,4,NA,1965-2018,1872-1964,Y,Y,NA,6,Islam,10379AG
49,10803,AG,rif,0,Tarifit,Tarifit,P,508,4,1,Y,4,NA,2020,1885-2018,Y,Y,NA,6,Islam,10803AG
50,11199,AG,tzm,0,"Tamazight, Central Atlas","Tamazight, Central Atlas",P,85261,12,1,Y,3,NA,NA,1919-2020,Y,Y,NA,6,Islam,11199AG
51,11321,AG,cnu,0,Chenoua,Chenoua,P,105843,1,1,Y,1,NA,NA,NA,N,N,NA,6,Islam,11321AG
52,11633,AG,arq,0,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",P,84684,27,1,Y,4,NA,1965-2018,1872-1964,Y,Y,NA,6,Islam,11633AG
53,11722,AG,arz,0,"Arabic, Egyptian Spoken","Arabic, Egyptian Spoken",P,18448,39,4,N,4,NA,2012,1905-2007,Y,Y,NA,6,Islam,11722AG
54,12178,AG,dsq,0,Tadaksahak,Tadaksahak,P,3868,2,1,Y,1,NA,NA,NA,N,Y,NA,6,Islam,12178AG
55,12217,AG,tzm,0,"Tamazight, Central Atlas","Tamazight, Central Atlas",P,1702593,12,1,Y,3,NA,NA,1919-2020,Y,Y,NA,6,Islam,12217AG
56,12247,AG,acm,0,"Arabic, Mesopotamian Spoken","Arabic, Mesopotamian Spoken",P,4813,31,1,Y,4,NA,2005,Yes,Y,Y,NA,6,Islam,12247AG
57,12944,AG,aao,0,"Arabic, Algerian Saharan Spoken","Arabic, Algerian Saharan Spoken",P,20329,9,1,Y,3,NA,NA,1992,Y,Y,NA,6,Islam,12944AG
58,13669,AG,tzm,0,"Tamazight, Central Atlas","Tamazight, Central Atlas",P,85014,12,1,Y,3,NA,NA,1919-2020,Y,Y,NA,6,Islam,13669AG
59,13819,AG,ary,0,"Arabic, Moroccan Spoken","Arabic, Moroccan Spoken",P,186724,27,1,Y,4,NA,2012,1902-1952,Y,Y,558,6,Islam,13819AG
60,13922,AG,arq,0,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",P,39722,27,1,Y,4,NA,1965-2018,1872-1964,Y,Y,NA,6,Islam,13922AG
61,14570,AG,arq,0,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",P,4691,27,1,Y,4,NA,1965-2018,1872-1964,Y,Y,NA,6,Islam,14570AG
62,14584,AG,arq,0,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",P,85152,27,1,Y,4,NA,1965-2018,1872-1964,Y,Y,NA,6,Islam,14584AG
63,14639,AG,mey,0,"Arabic, Hassaniyya","Arabic, Hassaniyya",P,NA,30,1,Y,4,NA,Yes,2002-2005,Y,Y,NA,6,Islam,14639AG
64,14899,AG,shy,0,Tachawit,Tachawit,P,2379562,6,1,Y,3,NA,NA,1933-1950,Y,Y,NA,6,Islam,14899AG
65,14911,AG,shi,0,Tachelhit,Tachelhit,P,6704,5,1,Y,4,NA,1998-2010,1906-1925,Y,Y,NA,6,Islam,14911AG
66,14938,AG,aao,0,"Arabic, Algerian Saharan Spoken","Arabic, Algerian Saharan Spoken",P,20329,9,1,Y,3,NA,NA,1992,Y,Y,NA,6,Islam,14938AG
67,15095,AG,arq,0,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",P,134763,27,1,Y,4,NA,1965-2018,1872-1964,Y,Y,NA,6,Islam,15095AG
68,15199,AG,mey,0,"Arabic, Hassaniyya","Arabic, Hassaniyya",P,50821,30,1,Y,4,NA,Yes,2002-2005,Y,Y,NA,6,Islam,15199AG
69,15226,AG,aao,0,"Arabic, Algerian Saharan Spoken","Arabic, Algerian Saharan Spoken",P,76232,9,1,Y,3,NA,NA,1992,Y,Y,NA,6,Islam,15226AG
70,15473,AG,arq,0,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",P,NA,27,1,Y,4,NA,1965-2018,1872-1964,Y,Y,NA,6,Islam,15473AG
71,15572,AG,arq,0,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",P,8398,27,1,Y,4,NA,1965-2018,1872-1964,Y,Y,NA,6,Islam,15572AG
72,15608,AG,thv,0,"Tamahaq, Tahaggart","Tamahaq, Tahaggart",P,73840,3,1,Y,3,NA,NA,1922-2018,N,N,NA,6,Islam,15608AG
73,16103,AG,aao,0,"Arabic, Algerian Saharan Spoken","Arabic, Algerian Saharan Spoken",P,20329,9,1,Y,3,NA,NA,1992,Y,Y,NA,6,Islam,16103AG
74,19007,AG,asp,0,Algerian Sign Language,Algerian Sign Language,P,226734,1,NA,N,1,NA,NA,NA,N,N,NA,6,Islam,19007AG
75,10495,AJ,ava,0,Avar,Avar,P,54674,10,1,Y,4,NA,2008,1979-2007,Y,Y,NA,6,Islam,10495AJ
76,10839,AJ,jdt,0,Judeo-Tat,Judeo-Tat,P,15374,5,1,Y,3,NA,NA,2000,Y,N,NA,4,Ethnic Religions,10839AJ
77,10980,AJ,bdk,8413,Budukh,Budukh: Yergyuch,P,1098,1,4,N,1,NA,NA,NA,N,N,NA,6,Islam,10980AJ
78,11255,AJ,kry,0,Kryts,Kryts,P,5886,1,1,Y,1,NA,NA,NA,N,N,NA,6,Islam,11255AJ
79,11505,AJ,dar,0,Dargwa,Dargwa,P,NA,10,1,Y,3,NA,NA,2002-2013,Y,N,NA,6,Islam,11505AJ
80,12660,AJ,kjj,0,Khinalugh,Khinalugh,P,2414,1,1,Y,1,NA,NA,NA,N,N,NA,6,Islam,12660AJ
81,12952,AJ,lbe,12694,Lak,Lak: Vixlin,P,1644,7,1,Y,3,NA,NA,1996-2007,Y,N,NA,6,Islam,12952AJ
82,13049,AJ,lez,0,Lezgi,Lezgi,P,197947,9,1,Y,4,NA,2018,2010–2014,Y,Y,NA,6,Islam,13049AJ
83,13809,AJ,myv,0,Erzya,Erzya,P,1033,10,3,N,4,NA,1824-2006,1821-1998,Y,N,NA,1,Christianity,13809AJ
84,13896,AJ,ttt,0,"Tat, Muslim","Tat, Muslim",P,25257,3,1,Y,3,NA,NA,1989-2011,Y,N,NA,6,Islam,13896AJ
85,15220,AJ,tly,0,Talysh,Talysh,P,NA,4,1,Y,4,NA,2018,Yes,Y,N,NA,6,Islam,15220AJ
