,ID3ROG3,Latitude,Longitude,PeopleID3,ROG3,ROL3,ROL4,Language,LanguageDialect,LanguageRank,Speakers,NbrPGICs,JPScale,LeastReached,BibleStatus,BibleYear,NTYear,PortionsYear,JF,AudioRecordings,YouVersion_ID,RLG3,PrimaryReligion
1,21454AF,35.00501,63.128594,21454,AF,aiq,0,Aimaq,Aimaq,P,1669529,5,1,Y,1,NA,NA,NA,N,N,NA,6,Islam
2,15202AF,36.9447,66.80422,15202,AF,abh,0,"Arabic, Tajiki Spoken","Arabic, Tajiki Spoken",P,NA,2,1,Y,1,NA,NA,NA,N,Y,NA,6,Islam
3,16239AF,36.187213,70.980606,16239,AF,skr,0,Saraiki,Saraiki,P,1603,862,1,Y,3,NA,NA,1888-2009,Y,Y,NA,6,Islam
4,15356AF,30.24139,63.20176,15356,AF,bgn,7624,"Balochi, Western","Balochi, Western: Rakhshani",P,489366,75,1,Y,3,NA,NA,1984-2020,Y,Y,NA,6,Islam
5,10959AF,30.0908,64.73688,10959,AF,brh,0,Brahui,Brahui,P,337501,38,1,Y,4,NA,1998,1905-1978,Y,Y,NA,6,Islam
6,19007AF,34.5325,69.136606,19007,AF,afg,0,Afghan Sign Language,Afghan Sign Language,P,407346,1,NA,N,1,NA,NA,NA,N,N,NA,6,Islam
7,12741AF,35.01213209,71.44848521,12741,AF,gwc,11381,Gawri,Gawri: Ushu,P,2019,47,1,Y,3,NA,NA,2022,Y,N,NA,6,Islam
8,12076AF,34.35039,66.94109,12076,AF,haz,0,Hazaragi,Hazaragi,P,3503209,9,1,Y,3,NA,NA,2008-2015,Y,Y,NA,6,Islam
9,19437AF,36.653176,70.212641,19437,AF,khw,0,Khowar,Khowar,P,10514,158,1,Y,3,NA,NA,2021,Y,Y,NA,6,Islam
10,18693AF,36.96537,72.85094,18693,AF,wbl,0,Wakhi,Wakhi,P,21485,4,1,Y,3,NA,NA,2001,N,Y,NA,6,Islam
11,11835AF,35.22045,71.53814,11835,AF,gwt,0,Gawar-Bati,Gawar-Bati,P,40563,1,1,Y,1,NA,NA,NA,N,Y,NA,6,Islam
12,12482AF,35.40963,71.32342,12482,AF,xvi,11490,Kamviri,Kamviri: Shekhani,P,22750,1,1,Y,1,NA,NA,NA,N,Y,NA,6,Islam
13,15575AF,35.0073,71.11979,15575,AF,trm,0,Tregami,Tregami,P,4423,1,1,Y,1,NA,NA,NA,N,N,NA,6,Islam
14,15735AF,32.77482,68.91851,15735,AF,oru,0,Ormuri,Ormuri,S,NA,15,1,Y,1,NA,NA,NA,N,Y,NA,6,Islam
15,15735AF,32.77482,68.91851,15735,AF,pbt,0,"Pashto, Southern","Pashto, Southern",P,NA,15,1,Y,3,NA,NA,1971-2019,Y,Y,NA,6,Islam
16,18369AF,34.204284,69.45316,18369,AF,mvy,0,"Kohistani, Indus","Kohistani, Indus",P,48941,38,1,Y,3,NA,NA,2021,Y,N,NA,6,Islam
17,13996AF,34.66002,70.43166,13996,AF,aee,0,"Pashai, Northeast","Pashai, Northeast",P,NA,1,1,Y,1,NA,NA,NA,N,Y,NA,6,Islam
18,15072AF,34.88104,69.77576,15072,AF,psh,0,"Pashai, Southwest","Pashai, Southwest",P,126390,1,1,Y,1,NA,NA,NA,N,Y,NA,6,Islam
19,14327AF,33.562,68.363,14327,AF,pbt,0,"Pashto, Southern","Pashto, Southern",P,10415504,15,1,Y,3,NA,NA,1971-2019,Y,Y,NA,6,Islam
20,15382AF,34.757485,70.301167,15382,AF,pnb,0,"Punjabi, Western","Punjabi, Western",P,38816,784,1,Y,4,NA,1819-1952,1885-1922,Y,Y,NA,6,Islam
21,11597AF,34.47461,69.12958,11597,AF,rmt,9376,Domari,Domari: Churi-wali,P,11645,12,1,Y,3,NA,NA,2018-2019,Y,Y,NA,6,Islam
22,14727AF,36.67411,71.57368,14727,AF,sgy,0,Sanglechi,Sanglechi,P,2902,2,1,Y,1,NA,NA,NA,N,Y,NA,6,Islam
23,14921AF,37.59163,71.37385,14921,AF,sgh,0,Shughni,Shughni,P,47412,2,1,Y,3,NA,NA,2001-2015,Y,Y,NA,6,Islam
24,14924AF,34.74897,70.75085,14924,AF,sts,0,Shumashti,Shumashti,P,1684,1,1,Y,1,NA,NA,NA,N,Y,NA,6,Islam
25,15500AF,31.81734,66.46972,15500,AF,pbt,0,"Pashto, Southern","Pashto, Southern",P,NA,15,1,Y,3,NA,NA,1971-2019,Y,Y,NA,6,Islam
26,15756AF,36.33165,66.70937,15756,AF,uzs,0,"Uzbek, Southern","Uzbek, Southern",P,4593491,5,1,Y,3,NA,NA,2004-2006,Y,Y,NA,6,Islam
27,11880AL,41.10981496,20.08186067,11880,AL,aln,0,"Albanian, Gheg","Albanian, Gheg",P,NA,23,2,N,4,NA,1869-1990,1866-1978,Y,Y,7,6,Islam
28,10431AL,40.23232,20.63302,10431,AL,rup,0,Aromanian,Aromanian,P,7165,8,3,N,3,NA,NA,1881-2016,Y,N,rup,1,Christianity
