,Language,Speakers,BibleStatus,Explanation
1,"Arabic, Egyptian Spoken",72058507,4,New Testament Complete
2,"Punjabi, Western",64456177,4,New Testament Complete
3,Saraiki,58911753,3,Portions Complete
4,Bhojpuri,54885732,4,New Testament Complete
5,"Chinese, Jinyu",47786978,1,No progress
6,"Chinese, Xiang",38058808,3,Portions Complete
7,"Arabic, Algerian Spoken",36656276,4,New Testament Complete
8,"Arabic, Sudanese Spoken",34287939,4,New Testament Complete
9,"Pashto, Central",31965275,1,No progress
10,"Arabic, Saidi Spoken",25353676,3,Portions Complete
11,Marwari,25120080,4,New Testament Complete
12,"Chinese, Gan",22523798,3,Portions Complete
