ROG3,Ctry,PoplPeoples,CntPeoples,CntPeoplesLR,PoplPeoplesLR,JPScaleCtry,ROL3OfficialLanguage,OfficialLang,RLG3Primary,ReligionPrimary,PercentChristianity,PercentEvangelical,10_40Window,ROG2,Continent,RegionCode,RegionName,PercentUrbanized,LiteracyRate,ISO3,Population,WorkersNeeded,wwl_2022_rank,private_life,family_life,community_life,national_life,church_life,violence,total_score_wwl_2022,wwl_2021_rank,total_score_wwl_2021,jun07gri,jun07shi,dec18gri,dec18shi,dec19gri,dec19shi,HDI_Rank_2019,Human Development Index (HDI),Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank_2018
AF,Afghanistan,40626000,70,68,40624000,1,pbt,"Pashto, Southern",6,Islam,0.018740952,0.015705041,Y,ASI,Asia,5,"Asia, Central",27,43,AFG,40754000,851,1,16.7,16.7,16.7,16.7,16.7,15,98,2,94,5.3,8.5,6.5,6.9,6.3,5.6,169,0.511,64.8,10.2,3.9,"2,229",0,169
AL,Albania,2834000,15,3,40000,2,aln,"Albanian, Gheg",6,Islam,33.64112965,0.604968487,Y,EUR,Europe,9,"Europe, Eastern and Eurasia",64,98,ALB,2866000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.2,2.4,0,1.9,0,69,0.795,78.6,14.7,10.1,"13,998",18,68
AG,Algeria,45266000,38,34,45233000,1,arb,"Arabic, Standard",6,Islam,0.076493207,0.069806179,Y,AFR,Africa,6,"Africa, North and Middle East",75,81,DZA,45350000,920,22,14,14,11.1,13.4,14.1,4.1,71,24,70,5.6,3.6,8,6,8,4.9,91,0.748,76.9,14.6,8,"11,174",13,91
AQ,American Samoa,54000,9,1,1000,5,smo,Samoan,1,Christianity,95.42002013,24.78033415,N,SOP,Oceania,1,Australia and Pacific,87,97,ASM,55000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN,Andorra,76000,10,2,1100,3,cat,Catalan,1,Christianity,90.60575928,1.352466387,N,EUR,Europe,10,"Europe, Western",88,100,AND,77000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0,2.4,0,2.4,0,36,0.868,81.9,13.3,10.5,"56,000",-20,36
AO,Angola,34891000,62,1,53000,5,por,Portuguese,1,Christianity,91.7109952,23.1158071,N,AFR,Africa,7,"Africa, East and Southern",66,71,AGO,35027000,1,66,6.8,6.7,8.1,10.1,11.4,7.8,51,68,46,3.3,3.7,4.3,1.3,4.3,0.6,148,0.581,61.2,11.8,5.2,"6,104",-17,145
AV,Anguilla,15000,5,NA,NA,5,eng,English,1,Christianity,90.60375512,34.62236778,N,NAR,North America,12,"America, North and Caribbean",100,95,AIA,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC,Antigua and Barbuda,99000,5,NA,NA,5,eng,English,1,Christianity,92.92787183,24.80758084,N,NAR,North America,12,"America, North and Caribbean",25,99,ATG,1.00E+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,0.3,1.3,0,0.8,0,78,0.778,77,12.8,9.3,"20,895",-15,80
AR,Argentina,45878000,85,2,178000,5,spa,Spanish,1,Christianity,93.1254877,11.06278266,N,LAM,South America,11,"America, Latin",92,99,ARG,46010000,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,0.6,2.3,1.3,2.1,1.7,46,0.845,76.7,17.7,10.9,"21,190",16,46
AM,Armenia,2931000,18,4,54000,4,hye,Armenian,1,Christianity,92.4625098,9.179231737,N,EUR,Europe,5,"Asia, Central",63,100,ARM,2972000,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,2.7,4.8,4.2,3.5,1.9,81,0.776,75.1,13.1,11.3,"13,894",9,72
AA,Aruba,107000,9,NA,NA,4,nld,Dutch,1,Christianity,95.48236198,9.885710593,N,NAR,North America,12,"America, North and Caribbean",43,98,ABW,108000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS,Australia,25931000,202,30,1482000,5,eng,English,1,Christianity,63.14421764,14.04662782,N,AUS,Australia,1,Australia and Pacific,86,99,AUS,26069000,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.8,1.8,2.7,1.1,2.4,8,0.944,83.4,22,12.7,"48,085",15,7
AU,Austria,9044000,46,8,360000,3,deu,"German, Standard",1,Christianity,67.72236498,0.569563552,N,EUR,Europe,10,"Europe, Western",58,98,AUT,9067000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,1.1,4.3,2.4,4.4,2.1,18,0.922,81.5,16.1,12.5,"56,197",-3,18
AJ,Azerbaijan,10258000,39,23,9852000,1,azj,"Azerbaijani, North",6,Islam,3.157042831,0.260332578,Y,ASI,Asia,5,"Asia, Central",56,99,AZE,10300000,211,56,13.1,9.9,9.3,11,13.4,3.3,60,61,56,5,2.9,6.9,0.8,7,1.6,88,0.756,73,12.9,10.6,"13,784",3,88
BF,Bahamas,398000,9,NA,NA,5,eng,English,1,Christianity,94.46132907,39.52540045,N,NAR,North America,12,"America, North and Caribbean",83,97,BHS,401000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,0.5,3.1,0,3.4,0,58,0.814,73.9,12.9,11.4,"33,747",-17,58
BA,Bahrain,1754000,17,8,1361000,4,arb,"Arabic, Standard",6,Islam,8.288568901,2.56773252,Y,ASI,Asia,6,"Africa, North and Middle East",89,95,BHR,1784000,30,60,12.5,13.2,9.1,11.1,10.2,0.9,57,60,56,4.3,3,6.3,1.7,6.4,1.6,42,0.852,77.3,16.3,9.5,"42,522",-12,41
