,ID3ROG3,Language,BibleStatus,Speakers,masonpop,masonresid,masonscore,Latitude,Longitude
1,14908AE,"Arabic, Shihhi Spoken",1,39567,1.00164687,0.00164687,0.000827067,25.98211,56.13246
2,11835AF,Gawar-Bati,1,42763,1.001779929,0.001779929,0.000893947,35.22045,71.53814
3,12482AF,Kamviri,1,25110,1.001044984,0.001044984,0.000524537,35.40963,71.32342
4,14727AF,Sanglechi,1,4904,1.000203751,0.000203751,0.000101701,36.67411,71.57368
5,14924AF,Shumashti,1,1684,1.000069693,6.97E-05,3.43E-05,34.74897,70.75085
6,15072AF,"Pashai, Southwest",1,126390,1.005261559,0.005261559,0.002643944,34.88104,69.77576
7,15575AF,Tregami,1,4423,1.000183726,0.000183726,9.16E-05,35.0073,71.11979
8,15735AF,Ormuri,1,9110,1.000378859,0.000378859,0.000189717,32.77482,68.91851
9,19007AF,Afghan Sign Language,1,407346,1.016958555,0.016958555,0.008523292,34.5325,69.136606
10,11321AG,Chenoua,1,105843,1.004406129,0.004406129,0.002213973,36.60729,2.19664
11,12178AG,Tadaksahak,1,171410,1.007135869,0.007135869,0.003586043,29.41261534,-3.286603179
12,19007AG,Algerian Sign Language,1,226734,1.009439164,0.009439164,0.004743765,36.4762,3.5462
13,10980AJ,Budukh,1,1098,1.000045297,4.53E-05,2.21E-05,41.24139,48.33895
14,11255AJ,Kryts,1,5886,1.000244635,0.000244635,0.000122251,41.17885,48.18208
15,12660AJ,Khinalugh,1,2414,1.000100085,0.000100085,4.96E-05,41.17913,48.05821
16,19007AL,Albanian Sign Language,1,28955,1.001205063,0.001205063,0.000604998,41.32315375,19.79790902
17,13287AO,Ndombe,1,52514,1.002185891,0.002185891,0.001097999,-12.965,13.37172
18,13339AO,Ngandjera,1,31500,1.001311018,0.001311018,0.000658255,-16.63593,21.19282
19,14093AO,Nyengo,1,25547,1.001063178,0.001063178,0.000533681,-17.12275,22.41077
20,21063AO,Ngendelengo,1,1402,1.000057953,5.80E-05,2.84E-05,-14.060956,13.174088
21,21580AO,Mpinda,1,34145,1.001421137,0.001421137,0.000713605,-10.736136,13.765602
22,21843AO,Hungu,1,909496,1.037864487,0.037864487,0.019031395,-7.63,15.06
23,11399AS,"Malay, Cocos Islands",1,2295,1.000095131,9.51E-05,4.71E-05,-10.492947,105.629265
24,11579AS,Djinba,1,73,1.000002623,2.62E-06,6.07E-07,-12.95169,134.9219
25,11801AS,Kaytetye,1,123,1.000004705,4.70E-06,1.65E-06,-21.50813,133.71023
26,14400AS,Pintiini,1,239,1.000009534,9.53E-06,4.08E-06,-29.93756,127.5149
27,14410AS,Pitcairn-Norfolk,1,374,1.000015154,1.52E-05,6.91E-06,-32.902625,149.781664
28,14539AS,Rembarrnga,1,44,1.000001416,1.42E-06,0,-13.00821,134.27635
29,15398AS,Wik-Iiyanh,1,71,1.00000254,2.54E-06,5.65E-07,-14.12779,142.74342
30,20971AS,Dhuwal,1,337,1.000013614,1.36E-05,6.13E-06,-14.826832,135.031477
31,20991AS,Gurindji Kriol,1,1071,1.000044172,4.42E-05,2.15E-05,-17.4378,130.8316
32,21563AS,Kumbainggar,1,93,1.000003456,3.46E-06,1.03E-06,-29.67174,152.9384
33,21564AS,Gurr-goni,1,49,1.000001624,1.62E-06,1.05E-07,-12.298,134.262
34,19007AU,Austrian Sign Language,1,18126,1.000754221,0.000754221,0.000378388,48.11967,16.22499
35,19631AU,Yeniche,1,18378,1.000764712,0.000764712,0.000383661,48.092827,12.970663
36,21829AU,Chakavian,1,79516,1.003310061,0.003310061,0.001663049,47.84,16.52
37,10572BA,"Arabic, Baharna Spoken",1,943891,1.039296448,0.039296448,0.019751152,26.00272,50.5695
38,10874BC,Birwa,1,150976,1.006285144,0.006285144,0.003158437,-22.35528,28.15541
39,12020BC,Gwi,1,1821,1.000075397,7.54E-05,3.72E-05,-22.29781,22.0585
40,15102BC,Kuhane,1,43275,1.001801245,0.001801245,0.000904662,-18.34847,24.81275
41,15602BC,Tswapong,1,9030,1.000375528,0.000375528,0.000188043,-22.96906,27.30757
42,18367BC,Ani,1,1111,1.000045838,4.58E-05,2.23E-05,-18.866705,23.28119
43,19325BC,Kua,1,1088,1.00004488,4.49E-05,2.18E-05,-21.8594,26.06263
44,19406BF,Bahamas English Creole,1,248295,1.01033681,0.01033681,0.005194956,24.70564,-78.04446
45,11291BG,Chak,1,7749,1.000322197,0.000322197,0.000161237,21.742389,92.380151
46,11291BM,Chak,1,7749,1.000322197,0.000322197,0.000161237,21.07408,92.61318
47,11488BM,Danau,1,128835,1.005363351,0.005363351,0.002695109,20.49656,96.99979
48,11881BM,"Karen, Geko",1,18167,1.000755928,0.000755928,0.000379246,19.68445,96.53777
49,11921BM,"Palaung, Shwe",1,244104,1.010162327,0.010162327,0.005107254,22.97885,96.95734
50,14268BM,"Karen, Paku",1,6856,1.000285018,0.000285018,0.000142549,18.81926,97.13233
51,14680BM,Samtao,1,14947,1.00062187,0.00062187,0.000311863,21.70879,98.92674
52,15091BM,Riang Lai,1,13269,1.00055201,0.00055201,0.000276749,20.08332,97.91665
53,15290BM,Taungyo,1,46114,1.001919441,0.001919441,0.000964071,20.41039,96.74008
54,15902BM,"Chin, Rawngtu",1,5669,1.0002356,0.0002356,0.00011771,27.04569,98.3197
55,20536BM,"Karen, Mobwa",1,4645,1.000192968,0.000192968,9.63E-05,19.01869,96.585743
56,20558BM,"Chin, Laitu",1,17525,1.000729199,0.000729199,0.000365811,20.366648,93.271353
57,20561BM,"Chin, Songlai",1,8276,1.000344137,0.000344137,0.000172265,21.301902,92.855322
58,20562BM,"Chin, Sumtu",1,16356,1.00068053,0.00068053,0.000341349,20.357231,93.270717
59,20573BM,"Naga, Lao",1,1126,1.000046462,4.65E-05,2.26E-05,26.321422,95.443255
60,20574BM,"Naga, Ponyo-Gongwang",1,5221,1.000216949,0.000216949,0.000108335,26.320413,95.443763
61,20575BM,"Naga, Chen-Kayu",1,10205,1.000424447,0.000424447,0.000212631,26.325711,95.443486
62,20576BM,"Naga, Akyaung Ari",1,1191,1.000049168,4.92E-05,2.40E-05,25.447203,94.956989
63,20584BM,Tai Laing,1,116136,1.004834655,0.004834655,0.002429367,25.346617,97.399958
64,10185BN,Aguna,1,38549,1.001604488,0.001604488,0.000805764,7.54303,1.74091
65,12738BN,"Gbe, Kotafon",1,170102,1.007081413,0.007081413,0.003558671,6.6438,1.73329
66,15150BN,"Gbe, Western Xwla",1,117601,1.004895647,0.004895647,0.002460024,6.29804,1.88453
67,15528BN,"Gbe, Tofin",1,150219,1.006253628,0.006253628,0.003142595,6.5101,2.43473
68,15909BN,"Gbe, Weme",1,298231,1.012415788,0.012415788,0.006239927,6.78089,2.48114
69,15926BN,"Gbe, Xwela",1,89027,1.003706031,0.003706031,0.001862078,6.41342,2.02985
70,18812BN,"Gbe, Ci",1,46751,1.001945961,0.001945961,0.000977401,6.85322,2.0181
71,18818BN,"Gbe, Gbesi",1,121647,1.005064094,0.005064094,0.002544691,6.54703,2.03334
72,19585BN,"Gbe, Eastern Xwla",1,150519,1.006266117,0.006266117,0.003148873,6.38928,2.56083
73,19586BN,"Gbe, Defi",1,25402,1.001057141,0.001057141,0.000530647,6.40795,2.6866
74,19587BN,Notre,1,2782,1.000115406,0.000115406,5.73E-05,10.70569,1.27549
75,10469BP,Amba,1,64505,1.00268511,0.00268511,0.001348925,-11.29602,166.49555
76,10868BP,Birao,1,10387,1.000432024,0.000432024,0.00021644,-9.7677,160.53057
77,11611BP,Dori'o,1,4241,1.000176149,0.000176149,8.78E-05,-9.101,160.90137
78,12113BP,Hoava,1,807,1.000033181,3.32E-05,1.60E-05,-8.16969,157.59291
79,12749BP,Kokota,1,932,1.000038385,3.84E-05,1.86E-05,-8.03961,159.1825
80,12883BP,Kusaghe,1,4225,1.000175482,0.000175482,8.75E-05,-8.05345,157.45844
81,13310BP,Amba,1,64505,1.00268511,0.00268511,0.001348925,-11.22991894,166.4635763
82,15300BP,Vaghua,1,3449,1.000143175,0.000143175,7.13E-05,-6.68511,156.51735
83,15689BP,Ughele,1,2116,1.000087679,8.77E-05,4.34E-05,-8.46192,157.34637
84,19007BP,Solomon Islands Sign Language,1,7192,1.000299007,0.000299007,0.000149581,-11.615,160.219
85,21067BP,Noipa,1,299,1.000012032,1.20E-05,5.34E-06,-10.820831,165.791948
86,10298BR,Amundava,1,128,1.000004913,4.91E-06,1.76E-06,-9.04525,-62.31393
87,10506BR,Aweti,1,185,1.000007286,7.29E-06,2.95E-06,-12.94285,-53.58973
88,11237BR,Panara,1,438,1.000017819,1.78E-05,8.24E-06,-5.71763,-50.11158
89,11329BR,Ikpeng,1,441,1.000017944,1.79E-05,8.31E-06,-11.35951,-53.49076
90,12104BR,Himarima,1,96,1.00000358,3.58E-06,1.09E-06,-6.26363,-64.71942
91,12158BR,Yuhup,1,413,1.000016778,1.68E-05,7.72E-06,0.492237,-69.981747
92,12382BR,Juruna,1,534,1.000021816,2.18E-05,1.03E-05,-10.94185,-53.35408
93,13660BR,Mehinaku,1,268,1.000010741,1.07E-05,4.69E-06,-12.52869,-53.52171
94,13811BR,Morerebi,1,111,1.000004205,4.20E-06,1.40E-06,-8.66964,-61.3893
95,14454BR,Zo'e,1,193,1.000007619,7.62E-06,3.12E-06,-0.04335,-56.028246
96,15137BR,Suruaha,1,221,1.000008785,8.78E-06,3.70E-06,-6.8336,-66.32307
97,15140BR,Surui Do Para,1,439,1.00001786,1.79E-05,8.27E-06,-5.9319,-48.58333
98,15740BR,Uru-Pa-In,1,221,1.000008785,8.78E-06,3.70E-06,-11.29356,-62.73054
99,15949BR,Yuhup,1,413,1.000016778,1.68E-05,7.72E-06,0.157227,-69.928919
100,16011BR,Yawanawa,1,844,1.000034722,3.47E-05,1.67E-05,-8.87952,-71.82386
101,18847BR,Matis,1,371,1.000015029,1.50E-05,6.84E-06,-4.35807,-70.21129
102,19283BR,Enawene-Nawe,1,898,1.00003697,3.70E-05,1.79E-05,-12.43329,-58.97378
103,20993BR,Yaroame,1,455,1.000018527,1.85E-05,8.60E-06,3.1612,-62.9246
104,12878BT,Kurtokha,1,2122,1.000087929,8.79E-05,4.35E-05,27.77672,91.00441
105,18909BT,Chalikha,1,1788,1.000074023,7.40E-05,3.65E-05,27.32016,91.25909
106,19270BT,Nyenkha,1,12669,1.00052703,0.00052703,0.000264194,27.37319,90.37397
107,19656BT,Tseku,1,22786,1.00094823,0.00094823,0.000475904,27.81285,89.36223
108,19658BT,Lunanakha,1,1233,1.000050917,5.09E-05,2.49E-05,28.12933,90.11325
109,20651BT,Olekha,1,515,1.000021025,2.10E-05,9.86E-06,27.29284,90.55572
110,10973BX,Brunei,1,567895,1.023642666,0.023642666,0.011882976,4.89828,114.88626
111,12589BX,"Kayan, Busang",1,7642,1.000317742,0.000317742,0.000158997,4.077752,114.66944
112,12978BX,"Bajau, West Coast",1,260794,1.010857179,0.010857179,0.005456512,4.828962,115.172442
113,15665BX,Tutong,1,20167,1.000839193,0.000839193,0.000421098,4.73043,114.65553
114,10973CA,Brunei,1,567895,1.023642666,0.023642666,0.011882976,43.590118,-79.590928
115,11701CA,"Ojibwa, Eastern",1,32750,1.001363059,0.001363059,0.000684413,44.86854,-80.12123
116,18984CA,"Ojibwa, Central",1,9109,1.000378817,0.000378817,0.000189696,46.60306,-84.15103
