,Language,Speakers,BibleStatus,UrgencyScore
1,"Chinese, Jinyu",47786978,1,1
2,"Pashto, Central",31965275,1,0.668911527
3,"Arabic, Sanaani Spoken",13856104,1,0.289954991
4,Saraiki,58911753,3,0.227524766
5,"Chinese, Huizhou",5429602,1,0.113620137
6,"Chinese, Min Zhong",3659078,1,0.076569759
7,"Arabic, Omani Spoken",2934334,1,0.061403605
8,Aimaq,2174289,1,0.045498734
9,"Zhuang, Zuojiang",2173613,1,0.045484588
10,"Zhuang, Yongnan",2095220,1,0.043844119
11,"Zhuang, Guibei",1673734,1,0.035024009
12,"Miao, Western Xiangxi",1417507,1,0.029662146
