PeopleID3,ROG3,ROL3,ROL4,Language,LanguageDialect,LanguageRank,Speakers
10350,AA,pap,0,Papiamentu,Papiamentu,P,86001
11659,AA,nld,0,Dutch,Dutch,P,4357
12035,AA,hat,0,Haitian Creole,Haitian Creole,P,1150
12051,AA,cmn,0,"Chinese, Mandarin","Chinese, Mandarin",P,865
12316,AA,jam,0,Jamaican English Creole,Jamaican English Creole,P,587
15175,AA,tgl,0,Tagalog,Tagalog,P,862
15741,AA,eng,0,English,English,P,560
19007,AA,xxx,0,Unknown,Language unknown,P,811
19209,AA,spa,0,Spanish,Spanish,P,11858
10348,AC,aig,0,Leeward Caribbean English Creole,Leeward Caribbean English Creole,S,
10348,AC,eng,0,English,English,P,
11140,AC,eng,0,English,English,P,3345
13862,AC,aig,0,Leeward Caribbean English Creole,Leeward Caribbean English Creole,P,2803
15741,AC,eng,0,English,English,P,10957
19007,AC,xxx,0,Unknown,Language unknown,P,497
10376,AE,afb,0,"Arabic, Gulf Spoken","Arabic, Gulf Spoken",P,
10378,AE,acx,0,"Arabic, Omani Spoken","Arabic, Omani Spoken",P,308882
10429,AE,hyw,0,"Armenian, Western","Armenian, Western",P,3096
10790,AE,ben,7966,Bengali,Bengali: Siripuria,P,77555
11277,AE,tha,0,Thai,Thai,P,3324
11359,AE,rhg,0,Rohingya,Rohingya,P,51592
11597,AE,afb,0,"Arabic, Gulf Spoken","Arabic, Gulf Spoken",P,70650
11722,AE,arz,0,"Arabic, Egyptian Spoken","Arabic, Egyptian Spoken",P,1028364
12046,AE,afb,0,"Arabic, Gulf Spoken","Arabic, Gulf Spoken",P,196048
12076,AE,haz,0,Hazaragi,Hazaragi,P,101952
12247,AE,acm,0,"Arabic, Mesopotamian Spoken","Arabic, Mesopotamian Spoken",P,51592
12322,AE,jpn,0,Japanese,Japanese,P,
12368,AE,apc,0,"Arabic, North Levantine Spoken","Arabic, North Levantine Spoken",P,26413
13017,AE,apc,0,"Arabic, North Levantine Spoken","Arabic, North Levantine Spoken",P,27859
13169,AE,ayl,0,"Arabic, Libyan Spoken","Arabic, Libyan Spoken",P,46384
13317,AE,npi,0,Nepali,Nepali,P,101120
13437,AE,zlm,0,Malay,Malay,P,30177
14256,AE,pbu,0,"Pashto, Northern","Pashto, Northern",P,402343
14276,AE,ajp,0,"Arabic, South Levantine Spoken","Arabic, South Levantine Spoken",P,103183
14327,AE,pbt,0,"Pashto, Southern","Pashto, Southern",P,148583
14371,AE,pes,0,"Persian, Iranian","Persian, Iranian",P,321661
14784,AE,acw,0,"Arabic, Hijazi Spoken","Arabic, Hijazi Spoken",P,392787
14908,AE,ssh,0,"Arabic, Shihhi Spoken","Arabic, Shihhi Spoken",P,20170
14971,AE,sqt,0,Soqotri,Soqotri,P,15955
14983,AE,som,0,Somali,Somali,P,42260
15034,AE,bcc,0,"Balochi, Southern","Balochi, Southern",P,402343
15104,AE,apd,0,"Arabic, Sudanese Spoken","Arabic, Sudanese Spoken",P,75437
15145,AE,swh,0,Swahili,Swahili,P,5469
15152,AE,apc,0,"Arabic, North Levantine Spoken","Arabic, North Levantine Spoken",P,50044
15175,AE,tgl,0,Tagalog,Tagalog,P,
15198,AE,acq,3364,"Arabic, Taizzi-Adeni Spoken","Arabic, Taizzi-Adeni Spoken: Ta'izzi",P,58005
17433,AE,mal,0,Malayalam,Malayalam,P,
18274,AE,tur,0,Turkish,Turkish,P,10367
19007,AE,xxx,0,Unknown,Language unknown,P,20162
19206,AE,cmn,0,"Chinese, Mandarin","Chinese, Mandarin",P,33301
19211,AE,hin,0,Hindi,Hindi,P,
19211,AE,urd,0,Urdu,Urdu,S,
10453,AF,ask,0,Ashkun,Ashkun,P,50556
10528,AF,azj,0,"Azerbaijani, North","Azerbaijani, North",P,13300
10703,AF,bsh,3341,Kati,Kati: Kiti,P,151068
10959,AF,brh,0,Brahui,Brahui,P,337501
11126,AF,ckb,0,"Kurdish, Central","Kurdish, Central",P,4187
11510,AF,prs,0,Dari,Dari,P,16870
11597,AF,rmt,9376,Domari,Domari: Churi-wali,P,11645
11835,AF,gwt,0,Gawar-Bati,Gawar-Bati,P,40563
11936,AF,nli,0,Grangali,Grangali,P,11803
12076,AF,haz,0,Hazaragi,Hazaragi,P,3503209
12482,AF,xvi,11490,Kamviri,Kamviri: Shekhani,P,22750
12526,AF,kaa,11588,Karakalpak,Karakalpak: Southwest Karakalpak,P,3382
12599,AF,kaz,11758,Kazakh,Kazakh: Western Kazakh,P,3382
12741,AF,gwc,11381,Gawri,Gawri: Ushu,P,2019
12933,AF,kir,0,Kyrgyz,Kyrgyz,P,1330
13431,AF,prs,0,Dari,Dari,P,3382
13761,AF,mhj,0,Mogholi,Mogholi,S,
13761,AF,prs,0,Dari,Dari,P,
13878,AF,mnj,14417,Munji,Munji: Southern Munji,P,7278
13996,AF,aee,0,"Pashai, Northeast","Pashai, Northeast",P,
13996,AF,psi,15537,"Pashai, Southeast","Pashai, Southeast: Southeast",S,
14042,AF,glh,3338,"Pashai, Northwest","Pashai, Northwest: Wadahu",P,100331
14192,AF,snd,16748,Sindhi,Sindhi: Visholi,P,25310
14255,AF,phv,0,Pahlavani,Pahlavani,S,
14255,AF,prs,0,Dari,Dari,P,
14256,AF,pbu,0,"Pashto, Northern","Pashto, Northern",P,2878248
14311,AF,prc,0,Parachi,Parachi,P,
14322,AF,prd,0,Parsi-Dari,Parsi-Dari,S,
14322,AF,prs,0,Dari,Dari,P,
14324,AF,paq,0,Parya,Parya,P,370
14327,AF,pbt,0,"Pashto, Southern","Pashto, Southern",P,10415504
14371,AF,pes,0,"Persian, Iranian","Persian, Iranian",P,693608
14372,AF,prs,0,Dari,Dari,P,11388223
14461,AF,prn,0,Prasuni,Prasuni,P,10111
14483,AF,pan,15478,"Punjabi, Eastern","Punjabi, Eastern: Powadhi",P,6244
14498,AF,azj,0,"Azerbaijani, North","Azerbaijani, North",S,
14498,AF,prs,0,Dari,Dari,P,
14570,AF,rmn,3403,"Romani, Balkan","Romani, Balkan: Zargari",P,17889
14598,AF,rus,16118,Russian,Russian: South Russian,P,967
14727,AF,sgy,0,Sanglechi,Sanglechi,P,2902
14782,AF,sdg,0,Savi,Savi,P,5062
14921,AF,sgh,0,Shughni,Shughni,P,47412
14924,AF,sts,0,Shumashti,Shumashti,P,1684
15025,AF,psi,0,"Pashai, Southeast","Pashai, Southeast",P,572491
15072,AF,psh,0,"Pashai, Southwest","Pashai, Southwest",P,126390
15202,AF,abh,0,"Arabic, Tajiki Spoken","Arabic, Tajiki Spoken",P,
15202,AF,prs,0,Dari,Dari,S,
15202,AF,tgk,0,Tajik,Tajik,S,
15253,AF,prs,0,Dari,Dari,P,16870
15356,AF,bgn,7624,"Balochi, Western","Balochi, Western: Rakhshani",P,489366
15382,AF,pnb,0,"Punjabi, Western","Punjabi, Western",P,38816
15418,AF,pbu,0,"Pashto, Northern","Pashto, Northern",P,3611
15500,AF,pbt,0,"Pashto, Southern","Pashto, Southern",P,
15500,AF,tra,0,Tirahi,Tirahi,S,
15575,AF,trm,0,Tregami,Tregami,P,4423
15654,AF,tuk,0,Turkmen,Turkmen,P,2273255
15735,AF,oru,0,Ormuri,Ormuri,S,
15735,AF,pbt,0,"Pashto, Southern","Pashto, Southern",P,
15741,AF,eng,0,English,English,P,512
15755,AF,uig,0,Uyghur,Uyghur,P,3559
15756,AF,uzs,0,"Uzbek, Southern","Uzbek, Southern",P,4593491
15822,AF,wbk,0,Waigali,Waigali,P,33045
15866,AF,prs,0,Dari,Dari,P,8439
16221,AF,urd,0,Urdu,Urdu,P,2537
16239,AF,skr,0,Saraiki,Saraiki,P,1603
16521,AF,urd,0,Urdu,Urdu,P,3881
16585,AF,urd,0,Urdu,Urdu,P,3201
17549,AF,gju,10404,Gujari,Gujari: Western Gujari,P,19013
17714,AF,pan,0,"Punjabi, Eastern","Punjabi, Eastern",P,3382
18125,AF,pan,0,"Punjabi, Eastern","Punjabi, Eastern",P,2865
18274,AF,tur,0,Turkish,Turkish,P,11217
18369,AF,mvy,0,"Kohistani, Indus","Kohistani, Indus",P,48941
18693,AF,wbl,0,Wakhi,Wakhi,P,21485
19007,AF,afg,0,Afghan Sign Language,Afghan Sign Language,P,407346
19409,AF,azb,3389,"Azerbaijani, South","Azerbaijani, South: Afshari",P,
19409,AF,prs,0,Dari,Dari,S,
19423,AF,urd,0,Urdu,Urdu,P,6746
19437,AF,khw,0,Khowar,Khowar,P,10514
20542,AF,isk,0,Ishkashimi,Ishkashimi,P,3296
21454,AF,aiq,0,Aimaq,Aimaq,P,1669529
10379,AG,arq,0,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",P,32932290
10774,AG,kcy,0,Korandje,Korandje,P,3781
10803,AG,rif,0,Tarifit,Tarifit,P,508
11140,AG,eng,0,English,English,P,783
11199,AG,tzm,0,"Tamazight, Central Atlas","Tamazight, Central Atlas",P,85261
11234,AG,fra,0,French,French,P,13954
11321,AG,cnu,0,Chenoua,Chenoua,P,105843
11633,AG,arq,0,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",P,84684
11722,AG,arz,0,"Arabic, Egyptian Spoken","Arabic, Egyptian Spoken",P,18448
12070,AG,hau,0,Hausa,Hausa,P,
12178,AG,dsq,0,Tadaksahak,Tadaksahak,P,3868
12217,AG,tzm,0,"Tamazight, Central Atlas","Tamazight, Central Atlas",P,1702593
12247,AG,acm,0,"Arabic, Mesopotamian Spoken","Arabic, Mesopotamian Spoken",P,4813
12399,AG,kab,0,Amazigh,Amazigh,P,6433044
12944,AG,aao,0,"Arabic, Algerian Saharan Spoken","Arabic, Algerian Saharan Spoken",P,20329
13669,AG,tzm,0,"Tamazight, Central Atlas","Tamazight, Central Atlas",P,85014
13819,AG,ary,0,"Arabic, Moroccan Spoken","Arabic, Moroccan Spoken",P,186724
13842,AG,mzb,0,Tumzabt,Tumzabt,P,193913
13922,AG,arq,0,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",P,39722
14570,AG,arq,0,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",P,4691
14584,AG,arq,0,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",P,85152
14639,AG,mey,0,"Arabic, Hassaniyya","Arabic, Hassaniyya",P,
14639,AG,spa,0,Spanish,Spanish,S,
14899,AG,shy,0,Tachawit,Tachawit,P,2379562
14911,AG,shi,0,Tachelhit,Tachelhit,P,6704
14938,AG,aao,0,"Arabic, Algerian Saharan Spoken","Arabic, Algerian Saharan Spoken",P,20329
15077,AG,spa,0,Spanish,Spanish,P,670
15095,AG,arq,0,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",P,134763
15199,AG,mey,0,"Arabic, Hassaniyya","Arabic, Hassaniyya",P,50821
15226,AG,aao,0,"Arabic, Algerian Saharan Spoken","Arabic, Algerian Saharan Spoken",P,76232
15473,AG,arq,0,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",P,
15473,AG,tia,0,"Tamazight, Tidikelt","Tamazight, Tidikelt",S,
15572,AG,arq,0,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",P,8398
15608,AG,thv,0,"Tamahaq, Tahaggart","Tamahaq, Tahaggart",P,73840
15609,AG,grr,17278,Taznatit,Taznatit: Touat,P,12262
16103,AG,aao,0,"Arabic, Algerian Saharan Spoken","Arabic, Algerian Saharan Spoken",P,20329
18274,AG,tur,0,Turkish,Turkish,P,3585
18364,AG,oua,0,Tagargrent,Tagargrent,P,23302
19007,AG,asp,0,Algerian Sign Language,Algerian Sign Language,P,226734
19206,AG,cmn,0,"Chinese, Mandarin","Chinese, Mandarin",P,37100
10429,AJ,hye,0,Armenian,Armenian,P,132073
10464,AJ,aii,112,Assyrian Neo-Aramaic,Assyrian Neo-Aramaic: Assyrian,P,1584
10495,AJ,ava,0,Avar,Avar,P,54674
10528,AJ,azj,0,"Azerbaijani, North","Azerbaijani, North",P,8876853
10839,AJ,jdt,0,Judeo-Tat,Judeo-Tat,P,15374
10980,AJ,bdk,8413,Budukh,Budukh: Yergyuch,P,1098
11065,AJ,bel,7935,Belarusian,Belarusian: Southwest Belarusan,P,6669
11140,AJ,eng,0,English,English,P,2895
11255,AJ,kry,0,Kryts,Kryts,P,5886
11317,AJ,che,8728,Chechen,Chechen: Ploskost,P,5371
11505,AJ,dar,0,Dargwa,Dargwa,P,
11865,AJ,kat,0,Georgian,Georgian,P,43683
11871,AJ,deu,0,"German, Standard","German, Standard",P,970
12230,AJ,kat,10165,Georgian,Georgian: Ingilo,P,17953
12599,AJ,kaz,11758,Kazakh,Kazakh: Western Kazakh,P,2359
12660,AJ,kjj,0,Khinalugh,Khinalugh,P,2414
12877,AJ,kmr,0,"Kurdish, Northern","Kurdish, Northern",P,6696
12952,AJ,lbe,12694,Lak,Lak: Vixlin,P,1644
13049,AJ,lez,0,Lezgi,Lezgi,P,197947
13775,AJ,ron,0,Romanian,Romanian,P,2537
13809,AJ,myv,0,Erzya,Erzya,P,1033
13896,AJ,ttt,0,"Tat, Muslim","Tat, Muslim",P,25257
14229,AJ,oss,15361,Ossetic,Ossetic: Tual,P,2807
14371,AJ,pes,0,"Persian, Iranian","Persian, Iranian",P,1465
14431,AJ,pol,0,Polish,Polish,P,31367
14571,AJ,ron,16065,Romanian,Romanian: Transylvanian,P,1687
14598,AJ,rus,16118,Russian,Russian: South Russian,P,130975
14603,AJ,rut,16123,Rutul,Rutul: North Rutul,P,18046
14885,AJ,azb,0,"Azerbaijani, South","Azerbaijani, South",P,2071
15220,AJ,azj,7452,"Azerbaijani, North","Azerbaijani, North: Zaqatala",S,
15220,AJ,tly,0,Talysh,Talysh,P,
15284,AJ,tat,17246,Tatar,Tatar: Western Tatar,P,28435
15587,AJ,tkr,0,Tsakhur,Tsakhur,P,30749
15684,AJ,udi,0,Udi,Udi,P,4173
15696,AJ,ukr,0,Ukrainian,Ukrainian,P,23607
15756,AJ,uzs,0,"Uzbek, Southern","Uzbek, Southern",P,1985
18274,AJ,tur,17825,Turkish,Turkish: Rumelian,P,19477
18859,AJ,azb,7464,"Azerbaijani, South","Azerbaijani, South: Shahsavani",P,299070
19007,AJ,xxx,0,Unknown,Language unknown,P,77248
20631,AJ,tur,0,Turkish,Turkish,P,102508
10328,AL,eng,0,English,English,P,775
10431,AL,rup,0,Aromanian,Aromanian,P,7165
11880,AL,aln,0,"Albanian, Gheg","Albanian, Gheg",P,
11880,AL,als,0,"Albanian, Tosk","Albanian, Tosk",S,
11942,AL,ell,0,Greek,Greek,P,27025
12273,AL,ita,0,Italian,Italian,P,7610
13186,AL,mkd,0,Macedonian,Macedonian,P,5409
13798,AL,srp,0,Serbian,Serbian,P,1301
14567,AL,aln,0,"Albanian, Gheg","Albanian, Gheg",S,
14567,AL,rmy,16050,"Romani, Vlax","Romani, Vlax: Southern Vlax Romani",P,
14864,AL,srp,0,Serbian,Serbian,P,1301
15741,AL,eng,0,English,English,P,2031
18274,AL,tur,0,Turkish,Turkish,P,1678
18765,AL,srp,0,Serbian,Serbian,P,34671
19007,AL,sqk,0,Albanian Sign Language,Albanian Sign Language,P,14324
19215,AL,eng,0,English,English,P,6217
20676,AL,als,0,"Albanian, Tosk","Albanian, Tosk",P,2920
10429,AM,hye,0,Armenian,Armenian,P,
10429,AM,hyw,0,"Armenian, Western","Armenian, Western",S,
10430,AM,rmi,0,Lomavren,Lomavren,P,48
10464,AM,aii,112,Assyrian Neo-Aramaic,Assyrian Neo-Aramaic: Assyrian,P,14630
10528,AM,azj,0,"Azerbaijani, North","Azerbaijani, North",P,15045
11065,AM,bel,0,Belarusian,Belarusian,P,913
11234,AM,fra,0,French,French,P,150455
11865,AM,kat,0,Georgian,Georgian,P,622
11942,AM,ell,0,Greek,Greek,P,908
12877,AM,kmr,0,"Kurdish, Northern","Kurdish, Northern",P,2179
13775,AM,ron,0,Romanian,Romanian,P,559
13809,AM,myv,0,Erzya,Erzya,P,503
14571,AM,ron,0,Romanian,Romanian,P,598
14598,AM,rus,0,Russian,Russian,P,12003
15284,AM,tat,0,Tatar,Tatar,P,515
15684,AM,udi,0,Udi,Udi,P,188
15696,AM,ukr,0,Ukrainian,Ukrainian,P,1185
19007,AM,aen,0,Armenian Sign Language,Armenian Sign Language,P,14859
20455,AM,kmr,0,"Kurdish, Northern","Kurdish, Northern",P,35585
11108,AN,cat,8661,Catalan,Catalan: Catalan-Rousillonese,P,33317
11140,AN,eng,0,English,English,P,932
11234,AN,fra,0,French,French,P,4475
11871,AN,deu,0,"German, Standard","German, Standard",P,559
12273,AN,ita,0,Italian,Italian,P,558
13819,AN,ary,0,"Arabic, Moroccan Spoken","Arabic, Moroccan Spoken",P,540
14449,AN,por,0,Portuguese,Portuguese,P,11840
15077,AN,spa,0,Spanish,Spanish,P,23435
19007,AN,xxx,0,Unknown,Language unknown,P,154
19211,AN,hin,0,Hindi,Hindi,P,568
10168,AO,afr,6716,Afrikaans,Afrikaans: Orange River Afrikaans,P,2330
10598,AO,kng,0,Koongo,Koongo,P,24895
10676,AO,xuu,0,Khwedam,Khwedam,P,318
10918,AO,blv,0,Kibala,Kibala,P,5440
11069,AO,kea,0,Kabuverdianu,Kabuverdianu,P,81651
11140,AO,eng,0,English,English,P,1283
11234,AO,fra,0,French,French,P,7878
11365,AO,cjk,166,Chokwe,Chokwe: Cokwe,P,2239636
11545,AO,dhm,0,Dhimba,Dhimba,P,33261
11852,AO,diu,0,Gciriku,Gciriku,P,25578
12085,AO,her,0,Herero,Herero,P,
12116,AO,hol,10683,Holu,Holu: Yeci,P,57304
12774,AO,kng,12204,Koongo,Koongo: Kongo,P,3624488
12775,AO,kwy,0,"Kongo, San Salvador","Kongo, San Salvador",P,21023
12856,AO,knw,0,Kung-Ekoka,Kung-Ekoka,P,7884
12857,AO,ktz,0,Ju'hoan,Ju'hoan,P,10490
12911,AO,kwn,0,Kwangali,Kwangali,P,
12914,AO,kua,1951,Oshiwambo,Oshiwambo: Kwanyama,P,795810
12962,AO,ldi,0,Laari,Laari,P,5573
13068,AO,lin,0,Lingala,Lingala,P,152257
13127,AO,loz,0,Lozi,Lozi,P,9195
13134,AO,lua,0,Luba-Kasai,Luba-Kasai,P,78054
13138,AO,lch,207,Luchazi,Luchazi: Luchazi,P,681046
13146,AO,lum,0,Luimbi,Luimbi,P,114593
13153,AO,lun,0,Lunda,Lunda,P,376755
13154,AO,kmb,0,Kimbundu,Kimbundu,P,
13154,AO,por,0,Portuguese,Portuguese,S,
13167,AO,lwa,0,Lwalu,Lwalu,P,26017
13168,AO,lue,0,Luvale,Luvale,P,357119
13276,AO,lun,1288,Lunda,Lunda: Ndembu,P,19190
13287,AO,ndq,0,Ndombe,Ndombe,P,52514
13289,AO,ndo,0,Ndonga,Ndonga,P,
13339,AO,nne,0,Ngandjera,Ngandjera,P,31500
13414,AO,nkn,0,Nkangala,Nkangala,P,55322
13417,AO,khu,0,Nkumbi,Nkumbi,P,748303
13426,AO,sie,0,Simaa,Simaa,P,3902
13454,AO,vaj,0,Northwestern Kung,Northwestern Kung,P,14462
13569,AO,mho,13824,Mashi,Mashi: North Kwandu,P,5259
13617,AO,mxg,0,Mbangala,Mbangala,P,
13639,AO,mhw,0,Mbukushu,Mbukushu,P,15753
13643,AO,mck,0,Mbunda,Mbunda,P,341279
13645,AO,mfu,0,Mbwela,Mbwela,P,560887
14084,AO,nyk,0,Nyaneka,Nyaneka,P,1136870
14092,AO,nba,0,Nyemba,Nyemba,P,1069795
14093,AO,nye,0,Nyengo,Nyengo,P,25547
14449,AO,por,0,Portuguese,Portuguese,P,2150687
14604,AO,rnd,0,Ruund,Ruund,P,257119
14681,AO,hgm,10523,Haiom,Haiom: Kedi,P,1730
15077,AO,spa,0,Spanish,Spanish,P,15220
15109,AO,sub,0,Suku,Suku,P,39028
15706,AO,umb,0,Umbundu,Umbundu,P,7935360
15953,AO,yaf,0,Yaka,Yaka,P,522074
16005,AO,yax,0,Yauma,Yauma,P,44637
16051,AO,yom,0,Yombe,Yombe,P,84176
19007,AO,xxx,0,Unknown,Language unknown,P,350270
19052,AO,nsx,0,Songo,Songo,P,233660
19206,AO,cmn,8839,"Chinese, Mandarin","Chinese, Mandarin: Xinan Guanhua",P,53288
19208,AO,eng,0,English,English,P,25988
20990,AO,olu,0,Kuvale,Kuvale,P,98105
21063,AO,nql,0,Ngendelengo,Ngendelengo,P,1402
21064,AO,xdo,0,Kwandu,Kwandu,P,8408
21580,AO,pnd,0,Mpinda,Mpinda,P,34145
21843,AO,hng,0,Hungu,Hungu,P,909496
11165,AQ,eng,0,English,English,P,3752
12322,AQ,jpn,0,Japanese,Japanese,P,964
12795,AQ,kor,0,Korean,Korean,P,530
14676,AQ,smo,0,Samoan,Samoan,P,46187
15175,AQ,tgl,0,Tagalog,Tagalog,P,665
15535,AQ,tkl,0,Tokelauan,Tokelauan,P,86
15554,AQ,ton,0,Tongan,Tongan,P,700
15741,AQ,eng,0,English,English,P,1049
19007,AQ,xxx,0,Unknown,Language unknown,P,275
10421,AR,spa,0,Spanish,Spanish,P,36206972
10429,AR,hyw,0,"Armenian, Western","Armenian, Western",P,152910
10962,AR,gun,0,"Guarani, Mbya","Guarani, Mbya",P,
10966,AR,por,0,Portuguese,Portuguese,P,44475
11065,AR,bel,0,Belarusian,Belarusian,P,
