,ID3ROG3,Latitude,Longitude
1,14372AF,31.15621,62.14612
2,19409AF,34.44796,69.28976
3,21454AF,35.00501,63.128594
4,15741AF,34.528621,69.168549
5,16221AF,34.54777,69.3198
6,15202AF,36.9447,66.80422
7,16239AF,36.187213,70.980606
8,10528AF,34.4501,69.61334
9,15356AF,30.24139,63.20176
10,19423AF,34.375787,69.435276
11,16521AF,34.294237,69.392519
12,10959AF,30.0908,64.73688
13,16585AF,34.470761,69.633613
14,11510AF,38.05962,70.72609
15,19007AF,34.5325,69.136606
16,12741AF,35.01213209,71.44848521
17,17549AF,35.24842,71.48793
18,12076AF,34.35039,66.94109
19,20542AF,36.71347,71.563232
20,19437AF,36.653176,70.212641
21,12526AF,36.66888,67.10763
22,12599AF,36.69403,69.12301
23,18125AF,34.321458,69.14323
24,18693AF,36.96537,72.85094
25,11126AF,34.5155,69.1952
26,12933AF,37.06464,74.24692
27,13761AF,34.23626261,62.27592178
28,13878AF,35.79309,70.85744
29,17714AF,34.422154,69.095272
30,11835AF,35.22045,71.53814
31,10453AF,35.11697,70.5923
32,11936AF,34.87613,70.70943
33,12482AF,35.40963,71.32342
34,13431AF,34.13174,69.01918
35,10703AF,35.48049,70.75245
36,14461AF,35.4495,70.92815
37,15575AF,35.0073,71.11979
38,15822AF,35.17784,71.05953
39,15735AF,32.77482,68.91851
40,14255AF,31.33334,62.19879
41,14311AF,35.07936,69.64313
42,14322AF,34.245037,61.583604
43,14324AF,34.47933,69.89671
44,18369AF,34.204284,69.45316
45,13996AF,34.66002,70.43166
46,14042AF,34.96106,70.04196
47,15025AF,34.43099,70.30351
48,15072AF,34.88104,69.77576
49,14256AF,33.562,68.363
50,14327AF,33.562,68.363
51,14371AF,34.25821094,62.44608334
52,14483AF,34.1478388,71.07321336
53,15382AF,34.757485,70.301167
54,14498AF,32.364777,62.09403
55,14570AF,34.35045528,62.15133813
56,11597AF,34.47461,69.12958
57,14598AF,34.708655,69.232984
58,14727AF,36.67411,71.57368
59,14782AF,35.16964,71.4591
60,14921AF,37.59163,71.37385
61,14924AF,34.74897,70.75085
62,14192AF,34.51736844,69.10888638
63,15253AF,38.11159,71.21229
64,15500AF,31.81734,66.46972
65,18274AF,34.558664,68.887656
66,15654AF,36.59488,64.75669
67,15755AF,34.89379,62.7225
68,15756AF,36.33165,66.70937
69,15866AF,36.98774,70.86259
70,15418AF,35.121354,70.981163
71,11880AL,41.10981496,20.08186067
72,15741AL,41.333518,19.810378
73,10328AL,41.33587,19.834638
74,10431AL,40.23232,20.63302
75,19007AL,41.32315375,19.79790902
76,20676AL,41.345601,19.818675
77,19215AL,41.421921,19.892526
78,18765AL,40.660934,19.698161
79,11942AL,40.07766,20.18662
80,12273AL,41.324095,19.801377
81,13186AL,41.68565,20.14576
82,13798AL,40.52515947,19.9205882
83,14567AL,40.80073826,19.91142436
84,14864AL,40.53107063,19.92169761
85,18274AL,41.338572,19.796522
86,10379AG,35.99742458,5.389438574
87,11722AG,36.70941315,3.098095943
88,12247AG,28.48947,1.28377
89,13819AG,35.672832,-0.625895
90,11633AG,30.86561001,-2.458410721
91,12944AG,33.95739228,3.103844449
92,13922AG,34.14495886,4.588845476
93,14584AG,33.52546407,6.014430076
94,14938AG,27.611488,-3.430999
95,15095AG,33.95742204,6.849871519
96,16103AG,28.419452,-5.944667
97,10774AG,29.51367,-2.56296
98,11199AG,31.96320642,-0.961098651
99,12217AG,33.563667,-0.28593
100,12399AG,36.39003,4.55784
101,13669AG,32.94803788,-0.590039475
102,13842AG,32.47268,3.84135
103,10803AG,35.83907,-0.34831
104,14899AG,35.27603,6.93694
105,14911AG,29.29423,-7.3006
106,15609AG,29.1496,0.10051
107,15473AG,26.91172,1.79388
108,15572AG,33.31437,6.0497
109,11140AG,36.740581,3.047684
110,11321AG,36.60729,2.19664
111,19206AG,36.685411,3.21938
112,19007AG,36.4762,3.5462
113,11234AG,31.6094,2.49053
114,12070AG,26.50063207,8.477400933
115,12178AG,29.41261534,-3.286603179
116,18364AG,31.94879,5.27286
117,14570AG,36.62111916,3.096820261
118,14639AG,27.67405367,-8.146384189
119,15077AG,36.695453,2.989062
120,15199AG,35.42078,3.23033
121,15226AG,28.14156,1.84671
122,15608AG,22.48174,6.3768
123,18274AG,35.692,-0.622
124,15741AQ,-14.31,-170.8
125,19007AQ,-14.316407,-170.744101
126,11165AQ,-14.32474,-170.79946
127,15175AQ,-14.281954,-170.694914
128,12322AQ,-14.276768,-170.709739
129,12795AQ,-14.281501,-170.708377
130,14676AQ,-14.29333,-170.70238
131,15535AQ,-14.29119,-170.74249
132,15554AQ,-14.31318,-170.74249
133,13819AN,42.534721,1.475602
134,11140AN,42.5463784,1.512425625
135,11108AN,42.55944861,1.58292558
136,19007AN,42.548474,1.562219
137,11234AN,42.55153746,1.578741197
138,11871AN,42.510138,1.495969
139,12273AN,42.507921,1.520812
140,14449AN,42.50461698,1.512446249
141,19211AN,42.480647,1.53237
142,15077AN,42.54865,1.60125
143,10168AO,-15.25411806,13.57093379
144,13289AO,-17.25975,21.43357
145,10918AO,-10.27549,15.10681
146,11140AO,-12.73683665,15.74379959
147,11069AO,-8.60325,13.455789
148,19206AO,-8.843978903,13.22338566
149,11365AO,-9.65336,20.16828
150,19007AO,-8.823471615,13.26896739
151,11545AO,-16.55169,13.69577
152,19208AO,-8.837257,13.553865
153,11234AO,-8.987234,13.421692
154,11852AO,-17.76548,20.7608
155,14681AO,-17.019218,21.301622
156,12085AO,-16.73662494,14.97918132
157,12116AO,-8.20931,17.5774
158,21843AO,-7.63,15.06
159,13154AO,-8.10198,15.05625
160,12774AO,-6.63077,14.3043
161,12775AO,-5.59758,12.48045
162,12856AO,-7.28215,14.34318
163,12857AO,-17.711445,20.892357
164,20990AO,-15,12.5
165,21064AO,-14.046703,13.313938
166,12914AO,-17.03144,16.34135
167,10676AO,-17.65705,22.41191
168,12962AO,0.316111,32.574811
169,13068AO,-7.611541659,15.05385396
170,13127AO,-14.98874883,20.9365993
171,13134AO,-8.426416,20.73772
172,13138AO,-13.71307,20.37763
173,13146AO,-11.43456,17.44547
174,13153AO,-11.18875,22.90985
175,13276AO,-11.18875,22.90985
176,13168AO,-12.07916,20.12819
177,12911AO,-17.43029,19.04544
178,13167AO,-7.683371,21.373317
179,13569AO,-15.95814,21.90066
180,13617AO,-9.16974,17.57672
181,13639AO,-16.94924,22.48909
182,13643AO,-14.59088,21.59839
183,13645AO,-13.38274,18.12592
184,21580AO,-10.736136,13.765602
185,13287AO,-12.965,13.37172
186,13339AO,-16.63593,21.19282
187,21063AO,-14.060956,13.174088
188,13414AO,-13.39491,19.02923
189,13417AO,-15.40955,14.13565
190,14084AO,-15.96162,14.94004
191,14092AO,-15.62958,17.9972
192,15706AO,-12.93443,14.51821
193,14449AO,-9.32801086,13.25726522
194,10598AO,-6.079649843,14.29157694
195,14604AO,-7.31907,19.76441
196,14093AO,-17.12275,22.41077
197,13426AO,-14.201137,21.91173
198,19052AO,-10.44121,16.76775
199,15077AO,-8.81159361,13.26042388
200,15109AO,-6.995230077,16.60417053
201,13454AO,-7.93095,15.74211
202,15953AO,-6.69586,16.66277
203,16005AO,-14.1932,20.51199
204,16051AO,-4.78172,12.55489
205,15741AV,18.23880585,-63.04013486
206,13862AV,18.23061,-63.06438
207,11140AV,18.22966,-63.04394
208,19206AV,18.23699727,-63.03782839
209,19211AV,18.219463,-63.053694
210,10348AC,17.12797656,-61.82960437
211,15741AC,17.10076,-61.8386
212,13862AC,17.0805,-61.78942
213,11140AC,17.10076,-61.8386
214,19007AC,17.073701,-61.785655
215,19023AR,-34.63610452,-58.48223696
216,19024AR,-24.838273,-65.409547
217,19214AR,-34.67294,-58.362476
