,year,question,count
1,2022,Christians Killed,5898
2,2021,Christians Killed,4761
3,2020,Christians Killed,2983
4,2019,Christians Killed,4305
5,2018,Christians Killed,3066
6,2017,Christians Killed,1207
7,2016,Christians Killed,7106
8,2022,Churches Attacked,5110
9,2021,Churches Attacked,4488
10,2020,Churches Attacked,9488
11,2019,Churches Attacked,1847
12,2018,Churches Attacked,793
13,2017,Churches Attacked,1329
14,2016,Churches Attacked,2425
15,2022,Christians Detained,6175
16,2021,Christians Detained,4277
17,2020,Christians Detained,4811
18,2019,Christians Detained,3150
19,2018,Christians Detained,1905
20,2022,Christians Abducted,3829
21,2021,Christians Abducted,1710
22,2020,Christians Abducted,1052
