WWL 2022 Rank,Country,Private life,Family life,Community life,National life,Church life,Violence,Total score WWL 2022,WWL 2021 Rank,Total score WWL 2021
1,Afghanistan,16.7,16.7,16.7,16.7,16.7,15,98,2,94
2,North Korea,16.7,16.7,16.7,16.7,16.7,13.1,96,1,94
3,Somalia,16.5,16.7,16.6,16.6,16.6,8.5,91,3,92
4,Libya,15.6,15.5,15.9,16.2,16.3,11.5,91,4,92
5,Yemen,16.7,16.6,16.5,16.7,16.7,5.2,88,7,87
6,Eritrea,14.6,14.9,15.5,15.9,15.6,11.1,88,6,88
7,Nigeria,13.8,13.8,14.3,14.5,14.4,16.7,87,9,85
8,Pakistan,13.6,14,15.1,14.9,13.1,16.7,87,5,88
9,Iran,14.5,14.6,13.6,15.8,16.5,10.4,85,8,86
10,India,12.7,12.7,12.9,14.7,13.3,15.6,82,10,83
11,Saudi Arabia,15.1,15.1,15,15.9,16.7,3.1,81,14,78
12,Myanmar,12.4,11.5,13.8,13.4,13.1,14.8,79,18,74
13,Sudan,13.4,13.4,14.3,13.6,15.7,8.5,79,13,79
14,Iraq,14,14.6,14,14.8,13.9,6.9,78,11,82
15,Syria,12.9,13.8,13.5,14.3,13.9,9.3,78,12,81
16,Maldives,15.4,15.3,13.7,15.8,16.5,0.4,78,15,77
17,China,12.6,9.8,12.2,14.4,15.5,11.1,76,17,74
18,Qatar,14.2,14.1,11.1,13,14.3,7.2,74,29,67
19,Vietnam,11.3,9.7,12.7,14.1,14.5,8.7,71,19,72
20,Egypt,12.7,13.2,11.5,12.7,10.8,10,71,16,75
21,Uzbekistan,14.9,12.7,14.1,11.8,15.6,1.7,71,21,71
22,Algeria,14,14,11.1,13.4,14.1,4.1,71,24,70
23,Mauritania,14.3,13.9,13.1,14,14.1,0.9,70,20,71
24,Mali,9.4,8.2,13.9,10.3,12.8,15,70,28,67
25,Turkmenistan,14.5,11.3,13.6,13.3,15.7,0.6,69,23,70
26,Laos,12,10.3,13.2,13.3,14.1,5.9,69,22,71
27,Morocco,13.1,13.8,10.8,12.8,14.2,3.9,69,27,67
28,Indonesia,11.3,11.5,11.5,11,9.6,13.5,68,47,63
29,Bangladesh,11.8,10.7,12.9,11.3,10.2,11.3,68,31,67
30,Colombia,11.5,8.8,13.1,11,9.9,13.3,68,30,67
31,Central African Republic,9,8.6,13.6,9.6,11.4,15.6,68,35,66
32,Burkina Faso,9.4,9.7,12,9.6,12.1,14.8,68,32,67
33,Niger,9.4,9.5,13.9,7.2,12.8,14.8,68,54,62
34,Bhutan,13.4,12.4,11.7,13.7,13.8,1.7,67,43,64
35,Tunisia,11.9,12.7,10.6,11.3,13.4,6.5,66,26,67
36,Oman,13.8,14,10.3,13.2,13.4,1.5,66,44,63
37,Cuba,12.3,8.1,12.6,13.2,14,5.9,66,51,62
38,Ethiopia,9.9,10.3,13.1,10.3,12.3,9.8,66,36,65
39,Jordan,12.9,14,11,12.3,12.5,3,66,38,64
40,Congo DR (DRC),8,7.9,12.6,9.7,12,15.6,66,40,64
41,Mozambique,9.3,8.5,11.3,7.9,12.5,15.6,65,45,63
42,Turkey,12.6,11.5,11.4,13.2,11.6,4.6,65,25,69
43,Mexico,10.3,8.3,12.5,10.8,10.3,12.6,65,37,64
44,Cameroon,8.8,7.6,12.6,7.2,13.1,15.4,65,42,64
45,Tajikistan,13.8,12.3,12,12.6,13.2,0.7,65,33,66
46,Brunei,14.8,14.5,10.3,11,13.2,0.6,64,39,64
47,Kazakhstan,13.4,11.6,11.1,12.6,13.5,1.7,64,41,64
48,Nepal,12.4,9.8,9.9,13.6,12.7,5.2,64,34,66
49,Kuwait,13.5,13.7,9.8,12.3,13.1,1.1,64,48,63
50,Malaysia,12.5,14.3,11.5,11.6,10.2,3.3,63,46,63
51,Kenya,11.7,9.2,11.4,8,11.5,11.1,63,49,62
52,Sri Lanka,12.9,9.9,11.4,11.3,9.4,7.8,63,52,62
53,Comoros,12.7,11.1,11.2,12.4,14.2,0.9,63,50,62
54,United Arab Emirates,13.4,13.6,10.1,11.8,12.2,1.3,62,53,62
55,Tanzania,9.3,10.8,10.3,8.6,8.7,13.7,61,57,58
56,Azerbaijan,13.1,9.9,9.3,11,13.4,3.3,60,61,56
57,Palestinian Territories,13,13.4,9.8,10.2,12,0.9,69,56,58
58,Djibouti,12.3,12.3,11.1,10,12.2,0.7,59,58,56
